"method","feature_set","criterion_label","emission_decile","n","observed_sum","predicted_sum","reserve_error","observed_mean","predicted_mean"
"PMM","arx","SpikeTW2",6,738,2022.3448,1599.88093714815,-0.208898038975275,2.74030460704607,2.16786034843923
"PMM","arx","SpikeTW2",7,738,2370.5798,2124.29309398955,-0.103893024824749,3.21216775067751,2.8784459268151
"PMM","arx","SpikeTW2",8,738,2744.2957,2761.7860903911,0.00637336216760542,3.71855785907859,3.7422575750557
"PMM","arx","SpikeTW2",9,738,3414.9723,3943.08063306458,0.15464498293722,4.6273337398374,5.34292768707938
"PMM","arx","SpikeTW2",10,739,6018.6526,5876.40736930721,-0.0236340656532984,8.1443201623816,7.95183676496239
"LSE","arx","SpikeTW2",1,738,825.00242,796.171651699367,-0.0349462833098512,1.11788945799458,1.0788233762864
"LSE","arx","SpikeTW2",2,738,1155.7488,892.339052157733,-0.22791262932072,1.56605528455285,1.2091315069888
"LSE","arx","SpikeTW2",3,738,1331.9249,968.40621467681,-0.272927313937286,1.80477628726287,1.31220354292251
"LSE","arx","SpikeTW2",4,738,1491.0544,1089.19316059436,-0.269514807377679,2.02039891598916,1.47587149132027
"LSE","arx","SpikeTW2",5,739,1723.32,1263.16500932824,-0.267016567249121,2.33196211096076,1.709289593137
"LSE","arx","SpikeTW2",6,738,2022.3448,1505.89195634632,-0.255373289289582,2.74030460704607,2.04050400588932
"LSE","arx","SpikeTW2",7,738,2370.5798,1809.44044210787,-0.236709752564384,3.21216775067751,2.45181631721934
"LSE","arx","SpikeTW2",8,738,2744.2957,2396.80730209232,-0.126622068426402,3.71855785907859,3.24770637139881
"LSE","arx","SpikeTW2",9,738,3414.9723,3708.7461882874,0.0860252624266951,4.6273337398374,5.02540133914281
"LSE","arx","SpikeTW2",10,739,6018.6526,6013.69716627743,-0.000823346029736216,8.1443201623816,8.13761456871101
"Huber","arx","SpikeTW2",1,738,825.00242,876.247314782997,0.0621148417758544,1.11788945799458,1.18732698480081
"Huber","arx","SpikeTW2",2,738,1155.7488,965.621219334499,-0.164505972807846,1.56605528455285,1.30842983649661
"Huber","arx","SpikeTW2",3,738,1331.9249,1070.52732140816,-0.19625549352808,1.80477628726287,1.45057902629832
"Huber","arx","SpikeTW2",4,738,1491.0544,1213.63500239081,-0.186055852562583,2.02039891598916,1.64449187315828
"Huber","arx","SpikeTW2",5,739,1723.32,1321.78322695885,-0.233001864448358,2.33196211096076,1.78861059128397
"Huber","arx","SpikeTW2",6,738,2022.3448,1464.30496502556,-0.275937038518081,2.74030460704607,1.98415306914033
"Huber","arx","SpikeTW2",7,738,2370.5798,1892.21618000653,-0.201791823246561,3.21216775067751,2.56397856369448
"Huber","arx","SpikeTW2",8,738,2744.2957,2489.55348161556,-0.0928260822565289,3.71855785907859,3.37337870137611
"Huber","arx","SpikeTW2",9,738,3414.9723,3719.58162851828,0.089198184277594,4.6273337398374,5.04008350747734
"Huber","arx","SpikeTW2",10,739,6018.6526,5951.01944383294,-0.0112372586793026,8.1443201623816,8.05280032994986
"L1","arx","SpikeTW2",1,738,825.00242,846.287647500306,0.0258002000773605,1.11788945799458,1.14673122967521
"L1","arx","SpikeTW2",2,738,1155.7488,910.900903734031,-0.21185217433578,1.56605528455285,1.23428306739028
"L1","arx","SpikeTW2",3,738,1331.9249,975.380835964212,-0.267690816528609,1.80477628726287,1.321654249274
"L1","arx","SpikeTW2",4,738,1491.0544,1059.79348020156,-0.289232183479316,2.02039891598916,1.43603452601837
"L1","arx","SpikeTW2",5,739,1723.32,1106.52777105356,-0.357909284953717,2.33196211096076,1.49733121928763
"L1","arx","SpikeTW2",6,738,2022.3448,1185.42671342701,-0.413835507462915,2.74030460704607,1.60626925938619
"L1","arx","SpikeTW2",7,738,2370.5798,1484.73824126224,-0.373681391673784,3.21216775067751,2.01184043531469
"L1","arx","SpikeTW2",8,738,2744.2957,1987.50808519381,-0.275767518349494,3.71855785907859,2.69310038644148
"L1","arx","SpikeTW2",9,738,3414.9723,3137.83335342064,-0.0811540833228314,4.6273337398374,4.25180671195209
"L1","arx","SpikeTW2",10,739,6018.6526,5288.83352079098,-0.121259545568226,8.1443201623816,7.15674360052907
"PMM","arx","ReserveTW4",1,738,825.00242,1007.38784736089,0.221072596806314,1.11788945799458,1.36502418341584
"PMM","arx","ReserveTW4",2,738,1155.7488,1116.37943248036,-0.0340639484286172,1.56605528455285,1.51270925810347
"PMM","arx","ReserveTW4",3,738,1331.9249,1206.47426650361,-0.0941874676991057,1.80477628726287,1.63478897900218
"PMM","arx","ReserveTW4",4,738,1491.0544,1336.22340921883,-0.103839934197683,2.02039891598916,1.81060082549977
"PMM","arx","ReserveTW4",5,739,1723.32,1518.77426306541,-0.118692835303128,2.33196211096076,2.05517491619136
"PMM","arx","ReserveTW4",6,738,2022.3448,1739.44723828868,-0.139885919409646,2.74030460704607,2.35697457762694
"PMM","arx","ReserveTW4",7,738,2370.5798,2070.38144038835,-0.126634994363676,3.21216775067751,2.80539490567528
"PMM","arx","ReserveTW4",8,738,2744.2957,2568.27921226358,-0.0641390385651303,3.71855785907859,3.48005313314848
"PMM","arx","ReserveTW4",9,738,3414.9723,3636.87818785834,0.0649802892569105,4.6273337398374,4.9280192247403
"PMM","arx","ReserveTW4",10,739,6018.6526,5732.04634502192,-0.0476196707180081,8.1443201623816,7.75649031802696
"LSE","arx","ReserveTW4",1,738,825.00242,792.581829548434,-0.0392975701229649,1.11788945799458,1.07395911862931
"LSE","arx","ReserveTW4",2,738,1155.7488,899.957535718335,-0.221320813209293,1.56605528455285,1.2194546554449
"LSE","arx","ReserveTW4",3,738,1331.9249,992.296071996269,-0.25499097434377,1.80477628726287,1.34457462330118
"LSE","arx","ReserveTW4",4,738,1491.0544,1130.58916174283,-0.24175190271875,2.02039891598916,1.53196363379788
"LSE","arx","ReserveTW4",5,739,1723.32,1303.35106778425,-0.243697590822221,2.33196211096076,1.76366856263092
"LSE","arx","ReserveTW4",6,738,2022.3448,1515.90308002359,-0.250423033686642,2.74030460704607,2.05406921412411
"LSE","arx","ReserveTW4",7,738,2370.5798,1860.44044872444,-0.215196025578027,3.21216775067751,2.5209220172418
"LSE","arx","ReserveTW4",8,738,2744.2957,2425.15095813486,-0.116293860703546,3.71855785907859,3.28611240939683
"LSE","arx","ReserveTW4",9,738,3414.9723,3687.23065634008,0.079724909142038,4.6273337398374,4.99624750181582
"LSE","arx","ReserveTW4",10,739,6018.6526,5986.12949515063,-0.00540371857471367,8.1443201623816,8.10031054824172
"Huber","arx","ReserveTW4",1,738,825.00242,952.574808407326,0.154632744480103,1.11788945799458,1.29075177290966
"Huber","arx","ReserveTW4",2,738,1155.7488,1066.99853762431,-0.076790269975349,1.56605528455285,1.44579747645571
"Huber","arx","ReserveTW4",3,738,1331.9249,1161.72797612504,-0.127782672938211,1.80477628726287,1.57415714922092
"Huber","arx","ReserveTW4",4,738,1491.0544,1300.87648056847,-0.127545929532505,2.02039891598916,1.76270525822286
"Huber","arx","ReserveTW4",5,739,1723.32,1494.24265623211,-0.132927920390811,2.33196211096076,2.02197923712058
"Huber","arx","ReserveTW4",6,738,2022.3448,1730.62759165012,-0.144247018782298,2.74030460704607,2.34502383692428
"Huber","arx","ReserveTW4",7,738,2370.5798,2049.09314587216,-0.135615200183447,3.21216775067751,2.77654897814656
"Huber","arx","ReserveTW4",8,738,2744.2957,2505.77033182336,-0.0869167882224344,3.71855785907859,3.39535275314819
"Huber","arx","ReserveTW4",9,738,3414.9723,3383.52499252582,-0.00920865667759008,4.6273337398374,4.58472221209461
"Huber","arx","ReserveTW4",10,739,6018.6526,5573.53904370668,-0.0739556817572963,8.1443201623816,7.54200141232297
"L1","arx","ReserveTW4",1,738,825.00242,966.499678868924,0.17151132583214,1.11788945799458,1.309620161069
"L1","arx","ReserveTW4",2,738,1155.7488,1095.35266423481,-0.0522571477168697,1.56605528455285,1.48421770221518
"L1","arx","ReserveTW4",3,738,1331.9249,1199.08133708034,-0.099738027962132,1.80477628726287,1.62477145945845
"L1","arx","ReserveTW4",4,738,1491.0544,1343.71475675225,-0.0988157395516573,2.02039891598916,1.82075170291632
"L1","arx","ReserveTW4",5,739,1723.32,1540.15826887682,-0.10628422528792,2.33196211096076,2.08411132459651
"L1","arx","ReserveTW4",6,738,2022.3448,1778.30554213381,-0.120671439344167,2.74030460704607,2.40962810587237
"L1","arx","ReserveTW4",7,738,2370.5798,2086.80164511907,-0.119708332485128,3.21216775067751,2.8276445055814
"L1","arx","ReserveTW4",8,738,2744.2957,2516.35784184701,-0.0830587819501346,3.71855785907859,3.40969897269242
"L1","arx","ReserveTW4",9,738,3414.9723,3323.6679590438,-0.0267364806901059,4.6273337398374,4.50361512065557
"L1","arx","ReserveTW4",10,739,6018.6526,5336.65971040275,-0.113313217246872,8.1443201623816,7.22146104249358
"PMM","arx","SpikeTW4",1,738,825.00242,1067.23509687476,0.29361450463959,1.11788945799458,1.44611801744548
"PMM","arx","SpikeTW4",2,738,1155.7488,1147.20056842519,-0.00739627120945818,1.56605528455285,1.55447231493929
"PMM","arx","SpikeTW4",3,738,1331.9249,1290.65391278455,-0.0309859716681099,1.80477628726287,1.74885354035847
"PMM","arx","SpikeTW4",4,738,1491.0544,1451.97101732933,-0.0262119092842409,2.02039891598916,1.96744040288527
"PMM","arx","SpikeTW4",5,739,1723.32,1591.62835778418,-0.0764174049020587,2.33196211096076,2.15375961811121
"PMM","arx","SpikeTW4",6,738,2022.3448,1740.23081466577,-0.139498460071808,2.74030460704607,2.35803633423546
"PMM","arx","SpikeTW4",7,738,2370.5798,2357.113185609,-0.00568072603630343,3.21216775067751,3.19392030570326
"PMM","arx","SpikeTW4",8,738,2744.2957,2998.51137318582,0.0926342132831444,3.71855785907859,4.06302354090219
"PMM","arx","SpikeTW4",9,738,3414.9723,4119.04830719533,0.206173270335262,4.6273337398374,5.58136626991238
"PMM","arx","SpikeTW4",10,739,6018.6526,6097.51417139203,0.0131028614929583,8.1443201623816,8.25103406142359
"LSE","arx","SpikeTW4",1,738,825.00242,957.034941568328,0.160038950635234,1.11788945799458,1.29679531377822
"LSE","arx","SpikeTW4",2,738,1155.7488,1062.20177652388,-0.0809406191692539,1.56605528455285,1.43929780016786
"LSE","arx","SpikeTW4",3,738,1331.9249,1154.99202455491,-0.132839978774394,1.80477628726287,1.56502984357034
"LSE","arx","SpikeTW4",4,738,1491.0544,1299.66013653872,-0.128361690533412,2.02039891598916,1.76105709558092
"LSE","arx","SpikeTW4",5,739,1723.32,1491.05101154924,-0.134779952911103,2.33196211096076,2.01766036745499
"LSE","arx","SpikeTW4",6,738,2022.3448,1746.44650088044,-0.136424955388202,2.74030460704607,2.36645867327973
"LSE","arx","SpikeTW4",7,738,2370.5798,2092.40524749232,-0.117344521583993,3.21216775067751,2.83523746272672
"LSE","arx","SpikeTW4",8,738,2744.2957,2683.586867857,-0.022121826063787,3.71855785907859,3.63629656891193
"LSE","arx","SpikeTW4",9,738,3414.9723,3872.27967371319,0.13391246942565,4.6273337398374,5.24699142779565
"LSE","arx","SpikeTW4",10,739,6018.6526,5878.30970582284,-0.0233179921660807,8.1443201623816,7.95441096863713
"Huber","arx","SpikeTW4",1,738,825.00242,876.247314782997,0.0621148417758544,1.11788945799458,1.18732698480081
"Huber","arx","SpikeTW4",2,738,1155.7488,965.621219334499,-0.164505972807846,1.56605528455285,1.30842983649661
"Huber","arx","SpikeTW4",3,738,1331.9249,1070.52732140816,-0.19625549352808,1.80477628726287,1.45057902629832
"Huber","arx","SpikeTW4",4,738,1491.0544,1213.63500239081,-0.186055852562583,2.02039891598916,1.64449187315828
"Huber","arx","SpikeTW4",5,739,1723.32,1321.78322695885,-0.233001864448358,2.33196211096076,1.78861059128397
"Huber","arx","SpikeTW4",6,738,2022.3448,1464.30496502556,-0.275937038518081,2.74030460704607,1.98415306914033
"Huber","arx","SpikeTW4",7,738,2370.5798,1892.21618000653,-0.201791823246561,3.21216775067751,2.56397856369448
"Huber","arx","SpikeTW4",8,738,2744.2957,2489.55348161556,-0.0928260822565289,3.71855785907859,3.37337870137611
"Huber","arx","SpikeTW4",9,738,3414.9723,3719.58162851828,0.089198184277594,4.6273337398374,5.04008350747734
"Huber","arx","SpikeTW4",10,739,6018.6526,5951.01944383294,-0.0112372586793026,8.1443201623816,8.05280032994986
"L1","arx","SpikeTW4",1,738,825.00242,870.003168060975,0.0545462012838402,1.11788945799458,1.17886608138344
"L1","arx","SpikeTW4",2,738,1155.7488,956.387678628603,-0.172495200835508,1.56605528455285,1.2959182637244
"L1","arx","SpikeTW4",3,738,1331.9249,1053.68131450063,-0.208903358965184,1.80477628726287,1.42775245867294
"L1","arx","SpikeTW4",4,738,1491.0544,1187.54327072953,-0.203554698789303,2.02039891598916,1.60913722321075
"L1","arx","SpikeTW4",5,739,1723.32,1287.69881923379,-0.252780203773074,2.33196211096076,1.74248825336101
"L1","arx","SpikeTW4",6,738,2022.3448,1427.49529471406,-0.294138519448287,2.74030460704607,1.93427546709222
"L1","arx","SpikeTW4",7,738,2370.5798,1854.79390341312,-0.21757795143065,3.21216775067751,2.51327087183349
"L1","arx","SpikeTW4",8,738,2744.2957,2458.24956569439,-0.104232985645684,3.71855785907859,3.33096147113061
"L1","arx","SpikeTW4",9,738,3414.9723,3722.43078363128,0.0900324970809496,4.6273337398374,5.04394415126189
"L1","arx","SpikeTW4",10,739,6018.6526,5992.01635841106,-0.0044256153925446,8.1443201623816,8.10827653370916
"PMM","arx","ReserveTW8",1,738,825.00242,1007.38784736089,0.221072596806314,1.11788945799458,1.36502418341584
"PMM","arx","ReserveTW8",2,738,1155.7488,1116.37943248036,-0.0340639484286172,1.56605528455285,1.51270925810347
