"seed","criterion","method","nrmse_test","nrmse_cal","coverage","n_test","n_in","width","max_log10_cond","pmm2_share","pmm3_share","best_layer","n_train","n_val"
75011,"ReserveTW4","PMM",5.94525088702922,3.34828196073933,0.423831070889894,5304,2248,2.89291311255276,3.42668602322553,1,0,1,9000,3000
75011,"ReserveTW4","LSE",7.96377170842723,4.36552052889308,0.422699849170437,5304,2242,3.48931135253727,3.12966276966286,0,0,1,9000,3000
75011,"ReserveTW4","ridge-LSE",7.96375237644935,4.36550603259192,0.422699849170437,5304,2242,3.48930439177165,3.12966366264024,0,0,1,9000,3000
75011,"ReserveTW4","Huber",5.04006551792392,2.91103207807525,0.426093514328808,5304,2260,2.43686256642673,3.42903089454086,0,0,1,9000,3000
75011,"ReserveTW4","L1",1.35130819732716,1.41309403599486,0.813348416289593,5304,4314,1.19517531036415,3.55469718123417,0,0,1,9000,3000
75012,"MSE","PMM",6.28767585534115,3.61370701990241,0.426470588235294,5304,2262,3.00169175761784,3.41750685667561,1,0,1,9000,3000
75012,"MSE","LSE",34.8608664632188,5.32288111339306,0.648190045248869,5304,3438,7.08221213479427,3.11403117173461,0,0,3,9000,3000
75012,"MSE","ridge-LSE",35.3142998196514,5.30615046313471,0.649132730015083,5304,3443,7.06868955893651,3.11403221560084,0,0,3,9000,3000
75012,"MSE","Huber",5.31842477209807,3.12630366467504,0.427036199095023,5304,2265,2.49738526789087,3.40580441251983,0,0,1,9000,3000
75012,"MSE","L1",1.32058517987263,1.41605663198942,0.811651583710407,5304,4305,1.14140202260633,3.50564986578928,0,0,1,9000,3000
75012,"ReserveTW4","PMM",6.28767585534115,3.61370701990241,0.426470588235294,5304,2262,3.00169175761784,3.41750685667561,1,0,1,9000,3000
75012,"ReserveTW4","LSE",34.8608664632188,5.32288111339306,0.648190045248869,5304,3438,7.08221213479427,3.11403117173461,0,0,3,9000,3000
75012,"ReserveTW4","ridge-LSE",35.3142998196514,5.30615046313471,0.649132730015083,5304,3443,7.06868955893651,3.11403221560084,0,0,3,9000,3000
75012,"ReserveTW4","Huber",5.31842477209807,3.12630366467504,0.427036199095023,5304,2265,2.49738526789087,3.40580441251983,0,0,1,9000,3000
75012,"ReserveTW4","L1",1.32058517987263,1.41605663198942,0.811651583710407,5304,4305,1.14140202260633,3.50564986578928,0,0,1,9000,3000
75013,"MSE","PMM",1.17986090375991,1.60633177922705,0.888386123680241,5304,4712,1.22572881455768,3.40632247932069,1,0,1,9000,3000
75013,"MSE","LSE",34.2617543244975,5.61246785966731,0.642345399698341,5304,3407,7.56911328808314,3.16951551154298,0,0,3,9000,3000
75013,"MSE","ridge-LSE",34.5111799042572,5.59900471975276,0.638386123680241,5304,3386,7.44649600506385,3.16951584915602,0,0,3,9000,3000
75013,"MSE","Huber",5.33781429347752,3.1131682247893,0.424019607843137,5304,2249,2.48390872515256,3.43240658227075,0,0,1,9000,3000
75013,"MSE","L1",1.41378401693485,1.4449314881831,0.785444947209653,5304,4166,1.17864173937965,3.46425814851035,0,0,1,9000,3000
75013,"ReserveTW4","PMM",6.29023540450493,3.58343831485394,0.42156862745098,5304,2236,2.96315009624753,3.40632247932069,1,0,1,9000,3000
75013,"ReserveTW4","LSE",34.2617543244975,5.61246785966731,0.642345399698341,5304,3407,7.56911328808314,3.16951551154298,0,0,3,9000,3000
75013,"ReserveTW4","ridge-LSE",34.5111799042572,5.59900471975276,0.638386123680241,5304,3386,7.44649600506385,3.16951584915602,0,0,3,9000,3000
75013,"ReserveTW4","Huber",5.33781429347752,3.1131682247893,0.424019607843137,5304,2249,2.48390872515256,3.43240658227075,0,0,1,9000,3000
75013,"ReserveTW4","L1",1.41378401693485,1.4449314881831,0.785444947209653,5304,4166,1.17864173937965,3.46425814851035,0,0,1,9000,3000
75014,"MSE","PMM",8.86305811271606,2.82483037295069,0.604449472096531,5304,3206,2.47846209370413,3.3766433329064,1,0,3,9000,3000
75014,"MSE","LSE",3.54058965309746,2.26310475786646,0.642722473604827,5304,3409,1.66957729107973,3.14039104635542,0,0,1,9000,3000
75014,"MSE","ridge-LSE",3.54058984479483,2.26310369048546,0.642722473604827,5304,3409,1.66957883046004,3.14039133379152,0,0,1,9000,3000
75014,"MSE","Huber",5.31155469404865,3.02135784689887,0.426470588235294,5304,2262,2.53262454824553,3.4057121885355,0,0,1,9000,3000
75014,"MSE","L1",1.68551052128791,1.50980833594622,0.755279034690799,5304,4006,1.38530364758492,3.5113907483536,0,0,1,9000,3000
75014,"ReserveTW4","PMM",8.86305811272903,2.82483037295144,0.604449472096531,5304,3206,2.47846209370481,3.3766433329064,1,0,3,9000,3000
75014,"ReserveTW4","LSE",8.42083642532094,4.58014949505988,0.424019607843137,5304,2249,3.63325772391573,3.14039104635542,0,0,1,9000,3000
75014,"ReserveTW4","ridge-LSE",8.42081384968015,4.58013275687883,0.424019607843137,5304,2249,3.63325048378142,3.14039133379152,0,0,1,9000,3000
