"seed","method","nrmse_test","coverage","width","pmm2_share","pmm3_share"
75001,"PMM",361.898537274381,0.935420743639922,1746.77488122663,1,0
75001,"WPMM2",251.367225244495,0.592954990215264,19.0814884069966,0,0
75001,"LSE",30.0147426154598,0.649706457925636,46.5471521226097,0,0
75001,"ridge-LSE",30.0307499188091,0.649706457925636,46.6293701790729,0,0
75001,"Huber",574.652576631752,0.592954990215264,3.65869000973188,0,0
75001,"L1",2.1312050845707,0.426614481409002,5.67652534732252,0,0
75002,"PMM",361.898537274381,0.935420743639922,1746.77488122663,1,0
75002,"WPMM2",251.367225244495,0.592954990215264,19.0814884069966,0,0
75002,"LSE",30.0147426154598,0.649706457925636,46.5471521226097,0,0
75002,"ridge-LSE",30.0307499188091,0.649706457925636,46.6293701790729,0,0
75002,"Huber",574.652576631752,0.592954990215264,3.65869000973188,0,0
75002,"L1",2.1312050845707,0.426614481409002,5.67652534732252,0,0
75003,"PMM",361.898537274381,0.935420743639922,1746.77488122663,1,0
75003,"WPMM2",251.367225244495,0.592954990215264,19.0814884069966,0,0
75003,"LSE",30.0147426154598,0.649706457925636,46.5471521226097,0,0
75003,"ridge-LSE",30.0307499188091,0.649706457925636,46.6293701790729,0,0
75003,"Huber",574.652576631752,0.592954990215264,3.65869000973188,0,0
75003,"L1",2.1312050845707,0.426614481409002,5.67652534732252,0,0
75004,"PMM",361.898537274381,0.935420743639922,1746.77488122663,1,0
75004,"WPMM2",251.367225244495,0.592954990215264,19.0814884069966,0,0
75004,"LSE",30.0147426154598,0.649706457925636,46.5471521226097,0,0
75004,"ridge-LSE",30.0307499188091,0.649706457925636,46.6293701790729,0,0
75004,"Huber",574.652576631752,0.592954990215264,3.65869000973188,0,0
75004,"L1",2.1312050845707,0.426614481409002,5.67652534732252,0,0
75005,"PMM",361.898537274381,0.935420743639922,1746.77488122663,1,0
75005,"WPMM2",251.367225244495,0.592954990215264,19.0814884069966,0,0
75005,"LSE",30.0147426154598,0.649706457925636,46.5471521226097,0,0
75005,"ridge-LSE",30.0307499188091,0.649706457925636,46.6293701790729,0,0
75005,"Huber",574.652576631752,0.592954990215264,3.65869000973188,0,0
75005,"L1",2.1312050845707,0.426614481409002,5.67652534732252,0,0
75006,"PMM",361.898537274381,0.935420743639922,1746.77488122663,1,0
