"method","criterion_label","interval_type","emission_decile","n","observed_mean","predicted_mean","coverage","upper_miss_rate","mean_width"
"L1","MSE","upper_95",10,739,8.1443201623816,6.97598204042537,0.514208389715832,0.485791610284168,NA
"PMM","ReserveTW4","equal_tail_95",1,738,1.11788945799458,1.30417669001736,0.989159891598916,0,3.11508490939328
"PMM","ReserveTW4","equal_tail_95",2,738,1.56605528455285,1.46218251011108,0.995934959349594,0,3.11508490939328
"PMM","ReserveTW4","equal_tail_95",3,738,1.80477628726287,1.58634890942172,0.990514905149051,0.00948509485094851,3.11508490939328
"PMM","ReserveTW4","equal_tail_95",4,738,2.02039891598916,1.77412774765085,0.976964769647697,0.018970189701897,3.11508490939328
"PMM","ReserveTW4","equal_tail_95",5,739,2.33196211096076,2.0389028340344,0.916102841677943,0.0730717185385656,3.11508490939328
"PMM","ReserveTW4","equal_tail_95",6,738,2.74030460704607,2.35791882373488,0.792682926829268,0.195121951219512,3.11508490939328
"PMM","ReserveTW4","equal_tail_95",7,738,3.21216775067751,2.78437064426627,0.735772357723577,0.252032520325203,3.11508490939328
"PMM","ReserveTW4","equal_tail_95",8,738,3.71855785907859,3.44489575187523,0.719512195121951,0.268292682926829,3.11508490939328
"PMM","ReserveTW4","equal_tail_95",9,738,4.6273337398374,4.85101844592797,0.769647696476965,0.214092140921409,3.11508490939328
"PMM","ReserveTW4","equal_tail_95",10,739,8.1443201623816,7.5806151845028,0.690121786197564,0.294993234100135,3.11508490939328
"PMM","ReserveTW4","abs_residual_95",1,738,1.11788945799458,1.30417669001736,0.981029810298103,0,3.55211491957705
"PMM","ReserveTW4","abs_residual_95",2,738,1.56605528455285,1.46218251011108,0.991869918699187,0,3.55211491957705
"PMM","ReserveTW4","abs_residual_95",3,738,1.80477628726287,1.58634890942172,0.998644986449865,0,3.55211491957705
"PMM","ReserveTW4","abs_residual_95",4,738,2.02039891598916,1.77412774765085,0.993224932249323,0,3.55211491957705
"PMM","ReserveTW4","abs_residual_95",5,739,2.33196211096076,2.0389028340344,0.987821380243572,0,3.55211491957705
"PMM","ReserveTW4","abs_residual_95",6,738,2.74030460704607,2.35791882373488,0.978319783197832,0.0040650406504065,3.55211491957705
"PMM","ReserveTW4","abs_residual_95",7,738,3.21216775067751,2.78437064426627,0.966124661246612,0.0121951219512195,3.55211491957705
"PMM","ReserveTW4","abs_residual_95",8,738,3.71855785907859,3.44489575187523,0.941734417344173,0.0230352303523035,3.55211491957705
