"rep","tail_weight","estimator","claim_decile","n","observed_sum","predicted_sum","reserve_error","observed_mean","predicted_mean"
1,4,"PMM-relaxed",8,100,153642.53,244843.716308463,0.593593364470523,1536.4253,2448.43716308463
1,4,"PMM-relaxed",9,100,244323.07,232131.950441215,-0.049897537546436,2443.2307,2321.31950441214
1,4,"PMM-relaxed",10,100,2634867.47,260292.410934685,-0.901212332727048,26348.6747,2602.92410934685
1,4,"LSE",1,100,9250.61,232040.341188686,24.0837881165335,92.5061,2320.40341188686
1,4,"LSE",2,100,37846.04,227002.138547934,4.9980420289133,378.4604,2270.02138547934
1,4,"LSE",3,100,70902.81,227645.140563256,2.21066457821991,709.0281,2276.45140563256
1,4,"LSE",4,100,108532.24,214008.472904064,0.971842402811039,1085.3224,2140.08472904064
1,4,"LSE",5,100,115052.28,228480.891799131,0.985887561716564,1150.5228,2284.80891799131
1,4,"LSE",6,100,118844.61,225489.192408322,0.897344712632082,1188.4461,2254.89192408322
1,4,"LSE",7,100,122846.47,225623.255188424,0.836627907895313,1228.4647,2256.23255188424
1,4,"LSE",8,100,153642.53,244843.716308463,0.593593364470523,1536.4253,2448.43716308463
1,4,"LSE",9,100,244323.07,232131.950441215,-0.049897537546436,2443.2307,2321.31950441214
1,4,"LSE",10,100,2634867.47,260292.410934685,-0.901212332727048,26348.6747,2602.92410934685
1,4,"Huber",1,100,9250.61,115493.698027573,11.4849818582313,92.5061,1154.93698027573
1,4,"Huber",2,100,37846.04,115134.068193372,2.04216948968431,378.4604,1151.34068193372
1,4,"Huber",3,100,70902.81,115434.424065882,0.628065574070784,709.0281,1154.34424065882
1,4,"Huber",4,100,108532.24,113102.010074869,0.042105185287511,1085.3224,1131.02010074869
1,4,"Huber",5,100,115052.28,115530.075615475,0.00415285655769049,1150.5228,1155.30075615475
1,4,"Huber",6,100,118844.61,114415.318401446,-0.0372696043897482,1188.4461,1144.15318401446
1,4,"Huber",7,100,122846.47,115026.620625785,-0.0636554666504887,1228.4647,1150.26620625785
1,4,"Huber",8,100,153642.53,119863.862275703,-0.2198523268544,1536.4253,1198.63862275703
1,4,"Huber",9,100,244323.07,116338.126695139,-0.523834868745146,2443.2307,1163.38126695139
1,4,"Huber",10,100,2634867.47,121456.759195117,-0.95390403480327,26348.6747,1214.56759195117
1,4,"L1",1,100,9250.61,117061.255959197,11.6544364057286,92.5061,1170.61255959197
1,4,"L1",2,100,37846.04,117216.646278867,2.09719712495329,378.4604,1172.16646278867
1,4,"L1",3,100,70902.81,117170.724190214,0.652554026987274,709.0281,1171.70724190214
1,4,"L1",4,100,108532.24,116581.681565827,0.0741663635231997,1085.3224,1165.81681565827
1,4,"L1",5,100,115052.28,117633.439967048,0.0224346702824867,1150.5228,1176.33439967048
1,4,"L1",6,100,118844.61,117085.365900107,-0.0148028934580436,1188.4461,1170.85365900107
1,4,"L1",7,100,122846.47,117486.484491288,-0.0436315793910269,1228.4647,1174.86484491288
1,4,"L1",8,100,153642.53,118206.983208748,-0.230636313989702,1536.4253,1182.06983208748
1,4,"L1",9,100,244323.07,117501.641250811,-0.519072671889678,2443.2307,1175.01641250811
1,4,"L1",10,100,2634867.47,118392.270841306,-0.95506708698282,26348.6747,1183.92270841306
1,8,"PMM-auto",1,100,9250.61,232040.341188686,24.0837881165335,92.5061,2320.40341188686
1,8,"PMM-auto",2,100,37846.04,227002.138547934,4.9980420289133,378.4604,2270.02138547934
1,8,"PMM-auto",3,100,70902.81,227645.140563256,2.21066457821991,709.0281,2276.45140563256
1,8,"PMM-auto",4,100,108532.24,214008.472904064,0.971842402811039,1085.3224,2140.08472904064
1,8,"PMM-auto",5,100,115052.28,228480.891799131,0.985887561716564,1150.5228,2284.80891799131
1,8,"PMM-auto",6,100,118844.61,225489.192408322,0.897344712632082,1188.4461,2254.89192408322
1,8,"PMM-auto",7,100,122846.47,225623.255188424,0.836627907895313,1228.4647,2256.23255188424
1,8,"PMM-auto",8,100,153642.53,244843.716308463,0.593593364470523,1536.4253,2448.43716308463
1,8,"PMM-auto",9,100,244323.07,232131.950441215,-0.049897537546436,2443.2307,2321.31950441214
1,8,"PMM-auto",10,100,2634867.47,260292.410934685,-0.901212332727048,26348.6747,2602.92410934685
1,8,"PMM-relaxed",1,100,9250.61,232040.341188686,24.0837881165335,92.5061,2320.40341188686
1,8,"PMM-relaxed",2,100,37846.04,227002.138547934,4.9980420289133,378.4604,2270.02138547934
1,8,"PMM-relaxed",3,100,70902.81,227645.140563256,2.21066457821991,709.0281,2276.45140563256
1,8,"PMM-relaxed",4,100,108532.24,214008.472904064,0.971842402811039,1085.3224,2140.08472904064
1,8,"PMM-relaxed",5,100,115052.28,228480.891799131,0.985887561716564,1150.5228,2284.80891799131
1,8,"PMM-relaxed",6,100,118844.61,225489.192408322,0.897344712632082,1188.4461,2254.89192408322
1,8,"PMM-relaxed",7,100,122846.47,225623.255188424,0.836627907895313,1228.4647,2256.23255188424
1,8,"PMM-relaxed",8,100,153642.53,244843.716308463,0.593593364470523,1536.4253,2448.43716308463
1,8,"PMM-relaxed",9,100,244323.07,232131.950441215,-0.049897537546436,2443.2307,2321.31950441214
1,8,"PMM-relaxed",10,100,2634867.47,260292.410934685,-0.901212332727048,26348.6747,2602.92410934685
1,8,"LSE",1,100,9250.61,232040.341188686,24.0837881165335,92.5061,2320.40341188686
1,8,"LSE",2,100,37846.04,227002.138547934,4.9980420289133,378.4604,2270.02138547934
1,8,"LSE",3,100,70902.81,227645.140563256,2.21066457821991,709.0281,2276.45140563256
1,8,"LSE",4,100,108532.24,214008.472904064,0.971842402811039,1085.3224,2140.08472904064
1,8,"LSE",5,100,115052.28,228480.891799131,0.985887561716564,1150.5228,2284.80891799131
1,8,"LSE",6,100,118844.61,225489.192408322,0.897344712632082,1188.4461,2254.89192408322
1,8,"LSE",7,100,122846.47,225623.255188424,0.836627907895313,1228.4647,2256.23255188424
1,8,"LSE",8,100,153642.53,244843.716308463,0.593593364470523,1536.4253,2448.43716308463
1,8,"LSE",9,100,244323.07,232131.950441215,-0.049897537546436,2443.2307,2321.31950441214
1,8,"LSE",10,100,2634867.47,260292.410934685,-0.901212332727048,26348.6747,2602.92410934685
1,8,"Huber",1,100,9250.61,115493.698027573,11.4849818582313,92.5061,1154.93698027573
1,8,"Huber",2,100,37846.04,115134.068193373,2.04216948968433,378.4604,1151.34068193373
1,8,"Huber",3,100,70902.81,115434.424065882,0.628065574070791,709.0281,1154.34424065882
1,8,"Huber",4,100,108532.24,113102.010074869,0.0421051852875152,1085.3224,1131.02010074869
1,8,"Huber",5,100,115052.28,115530.075615476,0.00415285655769582,1150.5228,1155.30075615476
1,8,"Huber",6,100,118844.61,114415.318401447,-0.0372696043897446,1188.4461,1144.15318401447
