"target","feature_set","n_features","method","criterion_label","criterion_type","interval_type","level","lower_offset","upper_offset","interval_width","train_years","calibration_year","test_year","n_train","n_cal","n_test","layers","best_layer","selected_nodes","pmm2_share","pmm3_share","test_pred_min","test_pred_max","test_pred_sd","max_log10_condition","best_log10_condition","median_log10_condition","max_coef_l2","best_coef_l2","max_abs_coef","fit_pred_min","fit_pred_max","fit_pred_sd_max","nrmse","mae","bias","under_rate","reserve_error","top10_threshold","top10_n","top10_nrmse","top10_mae","top10_bias","top10_under_rate","top10_reserve_error","top5_threshold","top5_n","top5_nrmse","top5_mae","top5_bias","top5_under_rate","top5_reserve_error","cal_coverage","cal_lower_miss_rate","cal_upper_miss_rate","cal_mean_width","test_coverage","test_lower_miss_rate","test_upper_miss_rate","test_mean_width","top10_coverage","top10_lower_miss_rate","top10_upper_miss_rate","top10_mean_width","top5_coverage","top5_lower_miss_rate","top5_upper_miss_rate","top5_mean_width"
"CO","target_lags",11,"ridge-LSE-1e-1","MSE","MSE","equal_tail_95",0.95,-2.98234874166139,1.00681238436333,3.98916112602472,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.414877412372327,19.1123719548062,2.40275882460707,2.99636804635374,2.56990336818139,2.15028045811913,3.31484886334484,0.944194659380336,2.69334410527676,-3.54011432883304,26.2925429923568,1.79407383206929,0.618415379767314,0.849047438317923,-0.387335638879644,0.74762936873476,-0.123791003339486,5.36365,739,0.9198494672138,1.46048318279728,0.012881493934105,0.328822733423545,0.00158165367732144,7.078395,370,1.09051304388454,1.708975934042,-0.578366556752927,0.448648648648649,-0.0566590674003792,0.949972051425377,0.0250139742873113,0.0250139742873113,3.98916112602472,0.771471146030886,0.00663776754267136,0.221891086426443,3.98916112602472,0.83085250338295,0.0189445196211096,0.15020297699594,3.98916112602473,0.775675675675676,0.0189189189189189,0.205405405405405,3.98916112602473
"CO","target_lags",11,"ridge-LSE-1e-2","MSE","MSE","equal_tail_95",0.95,-2.98238973828764,1.00681919172005,3.98920893000769,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.413680963649167,19.1131675138147,2.40276794995455,2.99629448252596,2.56987432239658,2.15028309971949,3.32935982966802,0.944303047494108,2.70265036216793,-3.5424455072041,26.2926035792363,1.79407898240104,0.618416501024004,0.849046637952162,-0.387324008477594,0.74762936873476,-0.123787286307033,5.36365,739,0.919851461451182,1.46048886530813,0.0129079720784411,0.328822733423545,0.00158490479513129,7.078395,370,1.09051238090034,1.70896012023605,-0.578337454260335,0.448648648648649,-0.0566562164055037,0.949972051425377,0.0250139742873113,0.0250139742873113,3.98920893000769,0.771471146030886,0.00663776754267136,0.221891086426443,3.98920893000769,0.83085250338295,0.0189445196211096,0.15020297699594,3.98920893000769,0.775675675675676,0.0189189189189189,0.205405405405405,3.98920893000769
"CO","target_lags",11,"ridge-LSE-1e-4","MSE","MSE","equal_tail_95",0.95,-2.98239424846884,1.00681994076425,3.98921418923309,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.413549343885897,19.1132550254758,2.40276895351099,2.99628638457184,2.56987112697306,2.15028339030153,3.33096277083804,0.944314971270741,2.70367754222425,-3.54270195314634,26.2926102440847,1.79407954894376,0.618416624386554,0.849046550820336,-0.38732272907183,0.747493904091032,-0.123786877413796,5.36365,739,0.919851680872229,1.46048948980688,0.0129108839365805,0.328822733423545,0.00158526232750722,7.078395,370,1.09051230797682,1.70895837936201,-0.578334254653292,0.448648648648649,-0.0566559029593867,0.949972051425377,0.0250139742873113,0.0250139742873113,3.98921418923309,0.771471146030886,0.00663776754267136,0.221891086426443,3.98921418923309,0.83085250338295,0.0189445196211096,0.15020297699594,3.98921418923309,0.775675675675676,0.0189189189189189,0.205405405405405,3.98921418923309
"CO","target_lags",11,"LSE","MSE","MSE","equal_tail_95",0.95,-2.98239429402661,1.00681994833064,3.98921424235725,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.413548014391083,19.1132559094354,2.40276896364771,2.99628630276824,2.56987109469568,2.15028339323671,3.33097896906686,0.944315091713568,2.70368792133465,-3.54270454351088,26.2926103114064,1.79407955466641,0.618416625632692,0.849046549943676,-0.387322716148618,0.747493904091032,-0.123786873283588,5.36365,739,0.919851683088646,1.46048949611433,0.0129109133484318,0.328822733423545,0.00158526593884045,7.078395,370,1.09051230724021,1.70895836177608,-0.57833422233581,0.448648648648649,-0.0566558997934392,0.949972051425377,0.0250139742873113,0.0250139742873113,3.98921424235725,0.771471146030886,0.00663776754267136,0.221891086426443,3.98921424235725,0.83085250338295,0.0189445196211096,0.15020297699594,3.98921424235725,0.775675675675676,0.0189189189189189,0.205405405405405,3.98921424235725
"CO","target_lags",11,"L1","MSE","MSE","upper_95",0.95,-Inf,0.787222087980118,NA,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,-0.192061367038895,15.3231009371008,1.98241301018512,2.96569074830734,2.47808056218628,2.14180224196769,2.95692175042209,1.38965073262747,2.06542528309804,-9.50277225511634,37.9823197287697,1.80414138952537,0.575338822295191,0.674018864224027,-0.340373187418896,0.726225955025738,-0.10878198170021,5.36365,739,0.990602124500693,1.58830941393779,-1.07211484811831,0.626522327469553,-0.131639575402545,7.078395,370,1.2124321639287,2.29378766647571,-2.0156177039941,0.789189189189189,-0.197457854384179,0.949972051425377,0,0.0500279485746227,NA,0.809943104849634,0,0.190056895150366,NA,0.604871447902571,0,0.395128552097429,NA,0.443243243243243,0,0.556756756756757,NA
"CO","target_lags",11,"Huber","MSE","MSE","upper_95",0.95,-Inf,0.799842703348247,NA,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.301031262090449,15.3108315669909,2.01897378509428,3.10139716256874,2.54531722287121,2.13960881438018,4.92882874320123,1.65226961608992,2.89321335067419,-8.93905183844048,36.5219166539593,1.77933435395278,0.580464114080607,0.709427555451959,-0.408479371537505,0.757111893795719,-0.130548460225273,5.36365,739,0.980213901492347,1.55062630480514,-1.00477016678091,0.623815967523681,-0.123370661608063,7.078395,370,1.19642484660596,2.20832461324759,-1.89886882176969,0.781081081081081,-0.186020673742184,0.949972051425377,0,0.0500279485746227,NA,0.770251964237334,0,0.229748035762666,NA,0.622462787550744,0,0.377537212449256,NA,0.462162162162162,0,0.537837837837838,NA
"CO","target_lags",11,"PMM","MSE","MSE","upper_95",0.95,-Inf,0.594033066065398,NA,"2011-2012",2014,2015,15035,7156,7382,3,3,18,1,0,-0.340714822208672,18.3936785632348,2.09385628511154,3.62816401240662,2.7221967645293,2.192596645594,6.18492180570457,3.65191716070185,3.83578631495994,-13.4674672198871,18.2957484720252,1.70345636295893,0.563234899740715,0.640027727708537,-0.239966207275701,0.677458683283663,-0.0766922910893314,5.36365,739,0.979789192582425,1.54869342171176,-0.631354592722077,0.479025710419486,-0.0775208464468629,7.078395,370,1.19573107801395,2.17641375752642,-1.37986395396804,0.610810810810811,-0.135176911352132,0.949972051425377,0,0.0500279485746227,NA,0.748577621240856,0,0.251422378759144,NA,0.675236806495264,0,0.324763193504736,NA,0.540540540540541,0,0.45945945945946,NA
"CO","target_lags",11,"ridge-LSE-1e-1","MSE","MSE","upper_95",0.95,-Inf,0.645449550654211,NA,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.414877412372327,19.1123719548062,2.40275882460707,2.99636804635374,2.56990336818139,2.15028045811913,3.31484886334484,0.944194659380336,2.69334410527676,-3.54011432883304,26.2925429923568,1.79407383206929,0.618415379767314,0.849047438317923,-0.387335638879644,0.74762936873476,-0.123791003339486,5.36365,739,0.9198494672138,1.46048318279728,0.012881493934105,0.328822733423545,0.00158165367732144,7.078395,370,1.09051304388454,1.708975934042,-0.578366556752927,0.448648648648649,-0.0566590674003792,0.949972051425377,0,0.0500279485746227,NA,0.620834462205364,0,0.379165537794636,NA,0.79702300405954,0,0.20297699594046,NA,0.724324324324324,0,0.275675675675676,NA
"CO","target_lags",11,"ridge-LSE-1e-2","MSE","MSE","upper_95",0.95,-Inf,0.645448829024278,NA,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.413680963649167,19.1131675138147,2.40276794995455,2.99629448252596,2.56987432239658,2.15028309971949,3.32935982966802,0.944303047494108,2.70265036216793,-3.5424455072041,26.2926035792363,1.79407898240104,0.618416501024004,0.849046637952162,-0.387324008477594,0.74762936873476,-0.123787286307033,5.36365,739,0.919851461451182,1.46048886530813,0.0129079720784411,0.328822733423545,0.00158490479513129,7.078395,370,1.09051238090034,1.70896012023605,-0.578337454260335,0.448648648648649,-0.0566562164055037,0.949972051425377,0,0.0500279485746227,NA,0.620834462205364,0,0.379165537794636,NA,0.79702300405954,0,0.20297699594046,NA,0.724324324324324,0,0.275675675675676,NA
"CO","target_lags",11,"ridge-LSE-1e-4","MSE","MSE","upper_95",0.95,-Inf,0.645448749723975,NA,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.413549343885897,19.1132550254758,2.40276895351099,2.99628638457184,2.56987112697306,2.15028339030153,3.33096277083804,0.944314971270741,2.70367754222425,-3.54270195314634,26.2926102440847,1.79407954894376,0.618416624386554,0.849046550820336,-0.38732272907183,0.747493904091032,-0.123786877413796,5.36365,739,0.919851680872229,1.46048948980688,0.0129108839365805,0.328822733423545,0.00158526232750722,7.078395,370,1.09051230797682,1.70895837936201,-0.578334254653292,0.448648648648649,-0.0566559029593867,0.949972051425377,0,0.0500279485746227,NA,0.620834462205364,0,0.379165537794636,NA,0.79702300405954,0,0.20297699594046,NA,0.724324324324324,0,0.275675675675676,NA
"CO","target_lags",11,"LSE","MSE","MSE","upper_95",0.95,-Inf,0.645448748923153,NA,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.413548014391083,19.1132559094354,2.40276896364771,2.99628630276824,2.56987109469568,2.15028339323671,3.33097896906686,0.944315091713568,2.70368792133465,-3.54270454351088,26.2926103114064,1.79407955466641,0.618416625632692,0.849046549943676,-0.387322716148618,0.747493904091032,-0.123786873283588,5.36365,739,0.919851683088646,1.46048949611433,0.0129109133484318,0.328822733423545,0.00158526593884045,7.078395,370,1.09051230724021,1.70895836177608,-0.57833422233581,0.448648648648649,-0.0566558997934392,0.949972051425377,0,0.0500279485746227,NA,0.620834462205364,0,0.379165537794636,NA,0.79702300405954,0,0.20297699594046,NA,0.724324324324324,0,0.275675675675676,NA
"CO","target_lags",11,"ridge-LSE-1e-2","ReserveTW4","reserve-aware","abs_residual_95",0.95,-2.44005005881027,2.44005005881027,4.88010011762054,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.654868864575901,3889.87542616977,46.3128222964061,3.24317164541534,2.13118731557043,2.07488890445672,8.65546751031652,1.82895039694237,7.0343991504024,-4.29706571592253,25.4069269013251,1.78869643601957,20.6749526972823,2.01756296625593,1.4191528789954,0.535762665944189,0.453555885771563,5.36365,739,8.06237273660378,6.27704648081682,4.78435905178721,0.334235453315291,0.5874473198986,7.078395,370,9.4577717640581,7.69141669157492,5.09852532465544,0.535135135135135,0.499471635486691,0.949972051425377,0.0426215762996087,0.00740637227501397,4.88010011762054,0.936196152804118,0.0563532917908426,0.00745055540503928,4.88010011762054,0.736129905277402,0.198917456021651,0.0649526387009472,4.88010011762054,0.77027027027027,0.132432432432432,0.0972972972972973,4.88010011762054
"CO","target_lags",11,"ridge-LSE-1e-4","ReserveTW4","reserve-aware","abs_residual_95",0.95,-2.44037935840165,2.44037935840165,4.8807587168033,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.654844064197189,3916.01372527336,46.6229481236349,3.24317237623791,2.13100657897906,2.07488933324535,8.68803803770048,1.8281888016588,7.06122684689954,-4.316854116618,25.4069176822218,1.78869725399904,20.8139085705696,2.02667849866931,1.4282889864592,0.535898130587917,0.456475751118407,5.36365,739,8.11639212572229,6.30990804501048,4.81728501406514,0.334235453315291,0.591490132757311,7.078395,370,9.5209449732161,7.73288162050208,5.14003600894205,0.535135135135135,0.503538185724371,0.949972051425377,0.0426215762996087,0.00740637227501397,4.8807587168033,0.93606068816039,0.0564887564345706,0.00745055540503928,4.8807587168033,0.736129905277402,0.198917456021651,0.0649526387009472,4.8807587168033,0.77027027027027,0.132432432432432,0.0972972972972973,4.8807587168033
"CO","target_lags",11,"LSE","ReserveTW4","reserve-aware","abs_residual_95",0.95,-2.4403827092217,2.4403827092217,4.8807654184434,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.654843814272023,3916.27881909739,46.6260934347008,3.24317238361999,2.1310047385188,2.07488933757658,8.68836832231127,1.82818104809273,7.06149888616356,-4.31705478721257,25.4069175890982,1.78869726226154,20.8153178603534,2.02677094086209,1.4283816324511,0.535898130587917,0.456505360426569,5.36365,739,8.11694001902431,6.31024131565729,4.8176189402237,0.334235453315291,0.591531133866293,7.078395,370,9.52158569200254,7.73330213898626,5.14045699709232,0.535135135135135,0.503579427382801,0.949972051425377,0.0426215762996087,0.00740637227501397,4.8807654184434,0.93606068816039,0.0564887564345706,0.00745055540503928,4.8807654184434,0.736129905277402,0.198917456021651,0.0649526387009472,4.8807654184434,0.77027027027027,0.132432432432432,0.0972972972972973,4.8807654184434
"CO","target_lags",11,"ridge-LSE-1e-1","ReserveTW4","reserve-aware","abs_residual_95",0.95,-2.43474893985193,2.43474893985193,4.86949787970386,"2011-2012",2014,2015,15035,7156,7382,3,3,18,0,0,0.655098771718914,3661.68409956692,43.6055931508574,3.24316500177686,2.1327044161166,2.07488500664691,8.37052789987174,1.8353558955733,6.799617346885,-4.12398682573989,25.4070107010897,1.78868900034873,19.4618785448313,1.93793566591193,1.33929015230275,0.535898130587917,0.428032060762058,5.36365,739,7.59104035692424,5.99006921133822,4.4968394289944,0.334235453315291,0.552144235410241,7.078395,370,8.90642551144338,7.32927241353579,4.73602850329809,0.535135135135135,0.463960018167357,0.949972051425377,0.0424818334264952,0.00754611514812745,4.86949787970386,0.937008940666486,0.0552695746410187,0.00772148469249526,4.86949787970386,0.734776725304465,0.197564276048714,0.06765899864682,4.86949787970386,0.77027027027027,0.12972972972973,0.1,4.86949787970386
"CO","target_lags",11,"PMM","ReserveTW4","reserve-aware","abs_residual_95",0.95,-1.74489032423025,1.74489032423025,3.4897806484605,"2011-2012",2014,2015,15035,7156,7382,3,3,18,1,0,0.675656666695368,15.9593115845203,2.13022164409685,3.29582182955373,2.245815989121,2.00351108165071,6.74731790014717,0.87928906365071,5.50050361160223,-13.4674672198871,19.7135955407963,1.70761463444401,0.585148935464753,0.701605950982192,-0.244767974409092,0.678406935789759,-0.0782269176807954,5.36365,739,0.978210356119087,1.60465834768295,-0.619988082397633,0.480378890392422,-0.0761252099667376,7.078395,370,1.18506630275194,2.13917258980478,-1.58083737979296,0.643243243243243,-0.154865060237205,0.949972051425377,0.0359139183901621,0.0141140301844606,3.4897806484605,0.948252506095909,0.0220807369276619,0.0296667569764292,3.4897806484605,0.757780784844384,0.0568335588633288,0.185385656292287,3.4897806484605,0.667567567567568,0.0378378378378378,0.294594594594595,3.4897806484605
"CO","target_lags",11,"L1","ReserveTW4","reserve-aware","abs_residual_95",0.95,-1.94625623363516,1.94625623363516,3.89251246727032,"2011-2012",2014,2015,15035,7156,7382,3,2,18,0,0,0.199419828367238,14.4799280387595,1.96999722149251,3.24069254683848,2.29407004517225,2.15468508751433,6.2990887661299,0.770579083210172,5.12183176094313,-24.7299845378566,43.396996297959,1.83331951273122,0.691966669159827,0.702422184577449,-0.0429869231464465,0.514494716878895,-0.0137384578454192,5.36365,739,1.16306488174359,2.18427521472582,-1.35179994365919,0.637347767253045,-0.165980697800059,7.078395,370,1.38525622236045,3.00966021486152,-2.51744363813476,0.754054054054054,-0.246618700725921,0.949972051425377,0.0205422023476803,0.0294857462269424,3.89251246727032,0.914115415876456,0.0424004334868599,0.0434841506366838,3.89251246727032,0.653585926928281,0.060893098782138,0.28552097428958,3.89251246727032,0.575675675675676,0.0297297297297297,0.394594594594595,3.89251246727032
"CO","target_lags",11,"Huber","ReserveTW4","reserve-aware","abs_residual_95",0.95,-1.90053554923177,1.90053554923177,3.80107109846354,"2011-2012",2014,2015,15035,7156,7382,3,2,18,0,0,0.310990542311175,14.1128204018266,1.956022065245,3.14862682607449,2.23302486892718,2.15898488980928,9.09277898959609,0.910489676381324,7.39720748769704,-28.5913111224052,43.1660056702593,1.81796897756128,0.689566092339332,0.697562804909217,-0.03960526955643,0.508805201842319,-0.0126576941644281,5.36365,739,1.15933033961153,2.1740262553758,-1.37857204217081,0.660351826792963,-0.169267908761545,7.078395,370,1.38338724304439,3.01387289810983,-2.55600074573191,0.778378378378378,-0.25039590695025,0.949972051425377,0.0206819452207937,0.029346003353829,3.80107109846354,0.912354375507992,0.0430777567054999,0.0445678677865077,3.80107109846354,0.638700947225981,0.0622462787550744,0.299052774018945,3.80107109846354,0.554054054054054,0.0351351351351351,0.410810810810811,3.80107109846354
