"rep","criterion","estimator","ok","nrmse","mae","bias","reserve_error","abs_reserve_error","under_rate","tail_mae","tail_bias","tail_reserve_error","abs_tail_reserve_error","tail_under_rate","pmm2_share","layers","nrmse_winner","reserve_winner","tail_reserve_winner"
4,"MSE","LSE",TRUE,0.998314256083506,3921.92951525201,-1289.6261465204,-0.342491623080071,0.342491623080071,0.193,25457.9698167526,-25331.1863416338,-0.913301992676952,0.913301992676952,0.98,0,3,TRUE,TRUE,FALSE
4,"MSE","Huber",TRUE,1.00102409196766,3127.79925582803,-2632.92810552343,-0.699238165065838,0.699238165065838,0.56,26555.7457810402,-26555.7457810402,-0.957452809819023,0.957452809819023,1,0,3,FALSE,FALSE,FALSE
4,"MSE","L1",TRUE,1.00111151460463,3114.90578143972,-2607.29753228552,-0.692431342288237,0.692431342288237,0.533,26573.0719739036,-26573.0719739036,-0.958077496174184,0.958077496174184,1,0,3,FALSE,FALSE,FALSE
4,"Reserve","PMM-auto",TRUE,0.998843708082651,3828.81139311297,-1366.09328313243,-0.362799333032448,0.362799333032448,0.197,25357.0881254727,-25256.1683789399,-0.910597261288108,0.910597261288108,0.96,0,3,TRUE,FALSE,TRUE
4,"Reserve","PMM-relaxed",TRUE,0.998843708082651,3828.81139311297,-1366.09328313243,-0.362799333032448,0.362799333032448,0.197,25357.0881254727,-25256.1683789399,-0.910597261288108,0.910597261288108,0.96,0,3,TRUE,FALSE,TRUE
4,"Reserve","LSE",TRUE,0.999135740198037,3827.01458890863,-1360.27988781062,-0.361255444359948,0.361255444359948,0.19,25366.0485199861,-25272.2123717934,-0.911175718627057,0.911175718627057,0.96,0,3,FALSE,TRUE,FALSE
4,"Reserve","Huber",TRUE,1.00103152249221,3127.39227420775,-2634.14331661802,-0.699560893960015,0.699560893960015,0.56,26563.2421374771,-26563.2421374771,-0.957723086827739,0.957723086827739,1,0,3,FALSE,FALSE,FALSE
4,"Reserve","L1",TRUE,1.00110335557213,3115.64909545514,-2590.56412046397,-0.68798737735321,0.68798737735321,0.51,26560.1277143164,-26560.1277143164,-0.957610798013456,0.957610798013456,1,0,3,FALSE,FALSE,FALSE
4,"TailReserve","PMM-auto",TRUE,0.998843708082651,3828.81139311297,-1366.09328313243,-0.362799333032448,0.362799333032448,0.197,25357.0881254727,-25256.1683789399,-0.910597261288108,0.910597261288108,0.96,0.0555555555555556,3,TRUE,FALSE,FALSE
4,"TailReserve","PMM-relaxed",TRUE,0.998843708082651,3828.81139311297,-1366.09328313243,-0.362799333032448,0.362799333032448,0.197,25357.0881254727,-25256.1683789399,-0.910597261288108,0.910597261288108,0.96,0.0555555555555556,3,TRUE,FALSE,FALSE
4,"TailReserve","LSE",TRUE,0.998847728395817,3833.17039831582,-1359.92434533009,-0.361161021397479,0.361161021397479,0.199,25332.576182918,-25235.860536085,-0.90986507318226,0.90986507318226,0.96,0,3,FALSE,TRUE,TRUE
4,"TailReserve","Huber",TRUE,1.00103049298737,3126.01924513839,-2630.97718919358,-0.698720051733453,0.698720051733453,0.561,26552.0547188701,-26552.0547188701,-0.957319730602378,0.957319730602378,1,0,3,FALSE,FALSE,FALSE
4,"TailReserve","L1",TRUE,1.00110733402942,3115.83708188765,-2591.23915255653,-0.688166648561101,0.688166648561101,0.521,26555.2457938638,-26555.2457938638,-0.957434783056346,0.957434783056346,1,0,3,FALSE,FALSE,FALSE
5,"MSE","PMM-auto",TRUE,1.77624269271123,3891.74101326747,-230.075323802307,-0.0932724831802517,0.0932724831802517,0.2,13412.7765605062,-12406.6077137661,-0.816822541075638,0.816822541075638,0.93,0,3,FALSE,TRUE,TRUE
5,"MSE","PMM-relaxed",TRUE,1.18152352808489,3881.1504169412,756.280550543138,0.306595960680673,0.306595960680673,0.215,13065.2581857873,-12619.3834268375,-0.830831205058566,0.830831205058566,0.86,0,3,FALSE,FALSE,FALSE
5,"MSE","LSE",TRUE,1.77624269271123,3891.74101326747,-230.075323802307,-0.0932724831802517,0.0932724831802517,0.2,13412.7765605062,-12406.6077137661,-0.816822541075638,0.816822541075638,0.93,0,3,FALSE,TRUE,TRUE
5,"MSE","Huber",TRUE,1.00322515866054,1838.04343630378,-1300.93717776566,-0.527399631678767,0.527399631678767,0.52,13983.7502009347,-13983.7502009347,-0.920657978104732,0.920657978104732,1,0,3,TRUE,FALSE,FALSE
5,"MSE","L1",TRUE,1.00381426083209,1821.54472233454,-1299.00310487935,-0.52661555897694,0.52661555897694,0.494,14016.047203842,-14016.047203842,-0.922784338556554,0.922784338556554,1,0,3,FALSE,FALSE,FALSE
5,"Reserve","PMM-auto",TRUE,1.24728874045,4874.36605491326,1272.57753032797,0.515902637151429,0.515902637151429,0.466,14103.3669693306,-12147.3413469945,-0.799753039290161,0.799753039290161,0.83,0,3,FALSE,TRUE,TRUE
5,"Reserve","PMM-relaxed",TRUE,1.24728874045,4874.36605491326,1272.57753032797,0.515902637151429,0.515902637151429,0.466,14103.3669693306,-12147.3413469945,-0.799753039290161,0.799753039290161,0.83,0,3,FALSE,TRUE,TRUE
5,"Reserve","LSE",TRUE,1.24728874045,4874.36605491326,1272.57753032797,0.515902637151429,0.515902637151429,0.466,14103.3669693306,-12147.3413469945,-0.799753039290161,0.799753039290161,0.83,0,3,FALSE,TRUE,TRUE
5,"Reserve","Huber",TRUE,1.00354436506048,1832.87009022289,-1289.21760060611,-0.522648517802544,0.522648517802544,0.533,13967.8139040498,-13967.8139040498,-0.919608768939968,0.919608768939968,1,0,3,TRUE,FALSE,FALSE
5,"Reserve","L1",TRUE,1.00379074239864,1822.44615445733,-1293.0620131829,-0.524207041774087,0.524207041774087,0.5,14016.387586515,-14016.387586515,-0.922806748569537,0.922806748569537,1,0,3,FALSE,FALSE,FALSE
5,"TailReserve","PMM-auto",TRUE,1.24728874045,4874.36605491326,1272.57753032797,0.515902637151429,0.515902637151429,0.466,14103.3669693306,-12147.3413469945,-0.799753039290161,0.799753039290161,0.83,0,3,FALSE,TRUE,TRUE
5,"TailReserve","PMM-relaxed",TRUE,1.24728874045,4874.36605491326,1272.57753032797,0.515902637151429,0.515902637151429,0.466,14103.3669693306,-12147.3413469945,-0.799753039290161,0.799753039290161,0.83,0,3,FALSE,TRUE,TRUE
5,"TailReserve","LSE",TRUE,1.24728874045,4874.36605491326,1272.57753032797,0.515902637151429,0.515902637151429,0.466,14103.3669693306,-12147.3413469945,-0.799753039290161,0.799753039290161,0.83,0,3,FALSE,TRUE,TRUE
5,"TailReserve","Huber",TRUE,1.00354436506048,1832.87009022289,-1289.21760060611,-0.522648517802544,0.522648517802544,0.533,13967.8139040498,-13967.8139040498,-0.919608768939968,0.919608768939968,1,0,3,TRUE,FALSE,FALSE
5,"TailReserve","L1",TRUE,1.00377816726533,1822.73211595309,-1292.39399668596,-0.523936228040369,0.523936228040369,0.497,14016.5598710241,-14016.5598710241,-0.922818091385702,0.922818091385702,1,0,3,FALSE,FALSE,FALSE
6,"MSE","PMM-auto",TRUE,1.00014236228161,4236.09182189536,871.782456375205,0.28648150951887,0.28648150951887,0.093,16854.1111553535,-16787.992189964,-0.810604399966592,0.810604399966592,0.92,0.333333333333333,3,TRUE,TRUE,FALSE
