"target","feature_set","n_features","method","criterion_label","criterion_type","tail_weight","train_years","validation_year","test_year","n_train","n_val","n_test","layers","best_layer","selected_nodes","pmm2_share","pmm3_share","nrmse","mae","bias","under_rate","reserve_error","top10_threshold","top10_n","top10_nrmse","top10_mae","top10_bias","top10_under_rate","top10_reserve_error","top5_threshold","top5_n","top5_nrmse","top5_mae","top5_bias","top5_under_rate","top5_reserve_error"
"CO","static",9,"Huber","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22191,7158,7384,3,3,18,0,0,0.679707191522024,0.948234068804163,-0.715734966715903,0.810807150595883,-0.228670374925706,5.37111,739,0.997254533687287,1.67415271370344,-1.15626883571739,0.772665764546685,-0.141897236849418,7.082625,370,1.18158241754368,2.20684405796197,-1.49241219619644,0.694594594594595,-0.146188247955543
"CO","static",9,"PMM","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22191,7158,7384,3,3,18,1,0,0.705502779284423,0.981996842344316,-0.706511214182965,0.774106175514626,-0.225723475517387,5.37111,739,1.01340290391204,1.53296284244957,-0.950052752852045,0.650879566982409,-0.116590412477257,7.082625,370,1.2213367248636,2.12893500743925,-1.58158282256976,0.721621621621622,-0.154922897586414
"CO","static",9,"L1","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22191,7158,7384,3,3,18,0,0,0.708985043500585,1.02713633360679,-0.840817829743055,0.85170639219935,-0.268633135605742,5.37111,739,1.00043568401619,1.63722693329574,-1.10207339130324,0.738836265223275,-0.13524637541076,7.082625,370,1.1851768039372,2.15182559904461,-1.5137317691739,0.724324324324324,-0.148276592602336
"CO","static",9,"LSE","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22191,7158,7384,3,3,18,0,0,0.729840992640803,1.08286448678071,-0.893779048617512,0.823943661971831,-0.285553730993322,5.37111,739,0.983838315489216,1.76689597957441,-1.60462228233334,0.933694181326116,-0.196919142864246,7.082625,370,1.18321095656525,2.41150082032501,-2.25151622853613,0.943243243243243,-0.220545780537059
"CO","target_lags",11,"L1","MSE","MSE",0,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.550217179301742,0.631756431801591,-0.30379948627829,0.717014359252235,-0.0970931653208787,5.36365,739,0.939094645039315,1.48264261127384,-1.16833812195622,0.745602165087957,-0.14345434593212,7.078395,370,1.14773591415983,2.20742029627425,-2.04325212164161,0.908108108108108,-0.20016503085173
"CO","target_lags",11,"Huber","MSE","MSE",0,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.562337096501289,0.679207341104439,-0.301653222059571,0.718639934976971,-0.0964072274045168,5.36365,739,0.923438317602304,1.40991885266214,-0.577436555174085,0.503382949932341,-0.0709005225311815,7.078395,370,1.113484621099,1.89313184060826,-1.26898401416793,0.64054054054054,-0.12431467544113
"CO","target_lags",11,"LSE","MSE","MSE",0,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,1.12845222832333,1.19928192025925,-0.979519623397501,0.900568951503658,-0.31305076218088,5.36365,739,1.2058001948926,2.20161859250767,-1.77566291047009,0.921515561569689,-0.218024693905309,7.078395,370,1.45635845081289,2.97958963282728,-2.31410135794956,0.908108108108108,-0.226698489531411
"CO","target_lags",11,"PMM","MSE","MSE",0,"2011-2013",2014,2015,22185,7156,7382,3,3,18,1,0,2.11185087702694,0.911981230833013,-0.0325033205017873,0.696830127336765,-0.0103879381417645,5.36365,739,2.3099137803836,2.40047147051541,0.545869863342923,0.415426251691475,0.0670246076356724,7.078395,370,2.86588075009285,3.4150709452865,0.292466208461412,0.608108108108108,0.0286511424702371
"CO","target_lags",11,"L1","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.548327938559167,0.624598317779576,-0.214692824889331,0.680167976158223,-0.0686150137893616,5.36365,739,0.923042275804927,1.39467106009845,-0.699876718611258,0.545331529093369,-0.0859343327198723,7.078395,370,1.11936315268591,1.90503401824117,-1.51445121684804,0.737837837837838,-0.148361610069087
"CO","target_lags",11,"PMM","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22185,7156,7382,3,3,18,1,0,0.556028277072199,0.667534463284022,-0.209980050978469,0.683419127607694,-0.0671088290948079,5.36365,739,0.922930188282786,1.4370977216447,-0.563704977878798,0.495263870094723,-0.0692144914050085,7.078395,370,1.11797000362676,1.8719968422899,-1.48765447620528,0.713513513513514,-0.145736495742435
"CO","target_lags",11,"Huber","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.565757070743842,0.674078408135514,-0.279303903942787,0.71335681387158,-0.089264469971628,5.36365,739,0.946474889614097,1.51997869083857,-0.664401235804653,0.519621109607578,-0.081578477092968,7.078395,370,1.14124279805722,2.04322531495145,-1.48177372737204,0.683783783783784,-0.145160394409091
"CO","target_lags",11,"LSE","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22185,7156,7382,3,2,18,0,0,0.577403766008946,0.726444535443329,-0.145004556124581,0.671769168247088,-0.0463429070027751,5.36365,739,0.911501553847303,1.51269639009197,0.0412606450442521,0.324763193504736,0.00506618652282698,7.078395,370,1.07278024484596,1.69874990740006,-0.727226638023107,0.472972972972973,-0.0712419876599197
