"target","feature_set","n_features","method","criterion_label","criterion_type","tail_weight","train_years","validation_year","test_year","n_train","n_val","n_test","layers","best_layer","selected_nodes","pmm2_share","pmm3_share","nrmse","mae","bias","under_rate","reserve_error","top10_threshold","top10_n","top10_nrmse","top10_mae","top10_bias","top10_under_rate","top10_reserve_error","top5_threshold","top5_n","top5_nrmse","top5_mae","top5_bias","top5_under_rate","top5_reserve_error"
"CO","arx",20,"PMM","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22185,7156,7382,3,2,18,1,0,0.562888724992801,0.66499388036986,-0.157900850386076,0.649823895963154,-0.0504645138102696,5.36365,739,0.940493963384841,1.50342939288012,-0.387829844354639,0.416779431664411,-0.0476196707180081,7.078395,370,1.13442912532221,1.8942277425451,-1.29054133169885,0.597297297297297,-0.126426515229745
"CO","arx",20,"LSE","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.618462645127519,0.864906401148931,-0.339239422221116,0.736656732592793,-0.108419634636585,5.36365,739,0.924833529153261,1.57397567760492,-0.0440096141398797,0.358592692828146,-0.00540371857471367,7.078395,370,1.08151337714506,1.76803156829251,-0.914195645779054,0.527027027027027,-0.0895582085557135
"CO","arx",20,"L1","ReserveTW8","reserve-aware",8,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.547405398892959,0.62722191599731,-0.199662225914247,0.676916824708751,-0.0638112912780534,5.36365,739,0.91203467274265,1.36202074856182,-0.570705486557853,0.512855209742896,-0.0700740485613436,7.078395,370,1.10003498636093,1.80693912971207,-1.30375846074769,0.686486486486486,-0.127721317283693
"CO","arx",20,"PMM","ReserveTW8","reserve-aware",8,"2011-2013",2014,2015,22185,7156,7382,3,2,18,1,0,0.562888724992801,0.66499388036986,-0.157900850386076,0.649823895963154,-0.0504645138102696,5.36365,739,0.940493963384841,1.50342939288012,-0.387829844354639,0.416779431664411,-0.0476196707180081,7.078395,370,1.13442912532221,1.8942277425451,-1.29054133169885,0.597297297297297,-0.126426515229745
"CO","arx",20,"Huber","ReserveTW8","reserve-aware",8,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.563596342400003,0.670841082131613,-0.273212811743753,0.708480086697372,-0.087317779971884,5.36365,739,0.933011297411681,1.45395217159554,-0.611618616867131,0.514208389715832,-0.0750975655024197,7.078395,370,1.12206365988527,1.92998542057114,-1.37018591344103,0.656756756756757,-0.1342288123583
"CO","arx",20,"LSE","ReserveTW8","reserve-aware",8,"2011-2013",2014,2015,22185,7156,7382,3,2,18,0,0,0.571508406727957,0.709433945642144,-0.159390994022552,0.673394743971823,-0.0509407580732908,5.36365,739,0.900555022952645,1.4328458430373,-0.0693567504544575,0.35723951285521,-0.00851596561427048,7.078395,370,1.06423122894245,1.63879785900028,-0.844315857127749,0.537837837837838,-0.0827125090440622
"CO","arx",20,"Huber","SpikeTW2","spike-aware",2,"2011-2013",2014,2015,22185,7156,7382,3,1,18,0,0,0.646795976613565,0.894466073709237,-0.289001075064454,0.651855865619073,-0.0923636491387664,5.36365,739,0.925267069046568,1.37227037692476,-0.0915198324317386,0.361299052774019,-0.0112372586793026,7.078395,370,1.10352111114841,1.6350473429475,-0.712921324648461,0.494594594594595,-0.069840582780585
"CO","arx",20,"PMM","SpikeTW2","spike-aware",2,"2011-2013",2014,2015,22185,7156,7382,3,3,18,1,0,0.656940250878828,0.875729917762289,-0.096507788484507,0.579111351937144,-0.0308435237230642,5.36365,739,0.948573582891567,1.55487319419039,-0.192483397419205,0.442489851150203,-0.0236340656532984,7.078395,370,1.12173808708463,1.90460383962621,-1.0428985679021,0.62972972972973,-0.10216645406032
"CO","arx",20,"LSE","SpikeTW2","spike-aware",2,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.67449036519354,0.90400141695427,-0.35952825473207,0.752506095908968,-0.114903868672944,5.36365,739,0.920014115789437,1.52834635366761,-0.00670559367058639,0.359945872801083,-0.000823346029736216,7.078395,370,1.08998617923877,1.78075631528801,-0.753940402177096,0.52972972972973,-0.073858973282698
"CO","arx",20,"L1","SpikeTW2","spike-aware",2,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.693599628790875,0.999291006878465,-0.692856294696782,0.791790842590084,-0.22143424792688,5.36365,739,0.96174341015621,1.53933410274915,-0.98757656185253,0.699594046008119,-0.121259545568226,7.078395,370,1.14692899875001,2.01485196173206,-1.36960441222309,0.651351351351351,-0.134171846207135
