"rep","tail_weight","estimator","ok","nrmse","mae","bias","reserve_error","abs_reserve_error","under_rate","tail_mae","tail_bias","tail_reserve_error","abs_tail_reserve_error","tail_under_rate","pmm2_share","layers","nrmse_winner","reserve_winner","tail_reserve_winner"
3,2,"PMM-auto",TRUE,1.06359337508788,4588.85537478698,216.076316766501,0.0774851975545618,0.0774851975545618,0.373,16882.6490410827,-13990.8378246478,-0.77656427324155,0.77656427324155,0.83,0,3,FALSE,TRUE,TRUE
3,2,"PMM-relaxed",TRUE,1.06359337508788,4588.85537478698,216.076316766501,0.0774851975545618,0.0774851975545618,0.373,16882.6490410827,-13990.8378246478,-0.77656427324155,0.77656427324155,0.83,0,3,FALSE,TRUE,TRUE
3,2,"LSE",TRUE,1.06359337508788,4588.85537478698,216.076316766501,0.0774851975545618,0.0774851975545618,0.373,16882.6490410827,-13990.8378246478,-0.77656427324155,0.77656427324155,0.83,0,3,FALSE,TRUE,TRUE
3,2,"Huber",TRUE,1.00567886891727,2142.61863052385,-1638.88012348134,-0.587704159514299,0.587704159514299,0.532,16819.419615649,-16819.419615649,-0.933565275637806,0.933565275637806,1,0,3,TRUE,FALSE,FALSE
3,2,"L1",TRUE,1.01600186209949,2205.52161376977,-1537.61667838752,-0.551390980145225,0.551390980145225,0.471,16850.0354054306,-16850.0354054306,-0.935264611220091,0.935264611220091,1,0,3,FALSE,FALSE,FALSE
3,4,"PMM-auto",TRUE,1.06359337508788,4588.85537478698,216.076316766501,0.0774851975545618,0.0774851975545618,0.373,16882.6490410827,-13990.8378246478,-0.77656427324155,0.77656427324155,0.83,0,3,FALSE,TRUE,TRUE
3,4,"PMM-relaxed",TRUE,1.06359337508788,4588.85537478698,216.076316766501,0.0774851975545618,0.0774851975545618,0.373,16882.6490410827,-13990.8378246478,-0.77656427324155,0.77656427324155,0.83,0,3,FALSE,TRUE,TRUE
3,4,"LSE",TRUE,1.06359337508788,4588.85537478698,216.076316766501,0.0774851975545618,0.0774851975545618,0.373,16882.6490410827,-13990.8378246478,-0.77656427324155,0.77656427324155,0.83,0,3,FALSE,TRUE,TRUE
3,4,"Huber",TRUE,1.00568410736722,2144.14051964491,-1639.3055339122,-0.587856712148341,0.587856712148341,0.536,16822.4308278116,-16822.4308278116,-0.933732413575782,0.933732413575782,1,0,3,TRUE,FALSE,FALSE
3,4,"L1",TRUE,1.00617436641538,2142.43496057426,-1598.55157118498,-0.573242297665967,0.573242297665967,0.486,16845.3001001715,-16845.3001001715,-0.935001777147311,0.935001777147311,1,0,3,FALSE,FALSE,FALSE
