"target","feature_set","n_features","method","criterion_label","criterion_type","interval_type","level","lower_offset","upper_offset","interval_width","train_years","calibration_year","test_year","n_train","n_cal","n_test","layers","best_layer","selected_nodes","pmm2_share","pmm3_share","nrmse","mae","bias","under_rate","reserve_error","top10_threshold","top10_n","top10_nrmse","top10_mae","top10_bias","top10_under_rate","top10_reserve_error","top5_threshold","top5_n","top5_nrmse","top5_mae","top5_bias","top5_under_rate","top5_reserve_error","cal_coverage","cal_lower_miss_rate","cal_upper_miss_rate","cal_mean_width","test_coverage","test_lower_miss_rate","test_upper_miss_rate","test_mean_width","top10_coverage","top10_lower_miss_rate","top10_upper_miss_rate","top10_mean_width","top5_coverage","top5_lower_miss_rate","top5_upper_miss_rate","top5_mean_width"
"CO","target_lags",11,"LSE","MSE","MSE","upper_95",0.95,-Inf,1.20506691773037,NA,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,1.12845222832333,1.19928192025925,-0.979519623397501,0.900568951503658,-0.31305076218088,5.36365,739,1.2058001948926,2.20161859250767,-1.77566291047009,0.921515561569689,-0.218024693905309,7.078395,370,1.45635845081289,2.97958963282728,-2.31410135794956,0.908108108108108,-0.226698489531411,0.949972051425377,0,0.0500279485746227,NA,0.636819290165267,0,0.363180709834733,NA,0.382949932341001,0,0.617050067658999,NA,0.235135135135135,0,0.764864864864865,NA
"CO","target_lags",11,"LSE","ReserveTW4","reserve-aware","abs_residual_95",0.95,-2.08410229506671,2.08410229506671,4.16820459013342,"2011-2013",2014,2015,22185,7156,7382,3,2,18,0,0,0.577403766008946,0.726444535443329,-0.145004556124581,0.671769168247088,-0.0463429070027751,5.36365,739,0.911501553847303,1.51269639009197,0.0412606450442521,0.324763193504736,0.00506618652282698,7.078395,370,1.07278024484596,1.69874990740006,-0.727226638023107,0.472972972972973,-0.0712419876599197,0.949972051425377,0.0419228619340414,0.00810508664058133,4.16820459013342,0.962882687618532,0.0226225955025738,0.0144947168788946,4.16820459013342,0.871447902571042,0.0514208389715832,0.0771312584573748,4.16820459013342,0.872972972972973,0.0216216216216216,0.105405405405405,4.16820459013342
"CO","target_lags",11,"PMM","ReserveTW4","reserve-aware","abs_residual_95",0.95,-1.77605745978852,1.77605745978852,3.55211491957705,"2011-2013",2014,2015,22185,7156,7382,3,3,18,1,0,0.556028277072199,0.667534463284022,-0.209980050978469,0.683419127607694,-0.0671088290948079,5.36365,739,0.922930188282786,1.4370977216447,-0.563704977878798,0.495263870094723,-0.0692144914050085,7.078395,370,1.11797000362676,1.8719968422899,-1.48765447620528,0.713513513513514,-0.145736495742435,0.949972051425377,0.0398267188373393,0.0102012297372834,3.55211491957705,0.952993768626389,0.020997019777838,0.0260092115957735,3.55211491957705,0.81190798376184,0.03382949932341,0.15426251691475,3.55211491957705,0.745945945945946,0.0162162162162162,0.237837837837838,3.55211491957705
"CO","target_lags",11,"L1","ReserveTW4","reserve-aware","abs_residual_95",0.95,-1.55972400920683,1.55972400920683,3.11944801841366,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.548327938559167,0.624598317779576,-0.214692824889331,0.680167976158223,-0.0686150137893616,5.36365,739,0.923042275804927,1.39467106009845,-0.699876718611258,0.545331529093369,-0.0859343327198723,7.078395,370,1.11936315268591,1.90503401824117,-1.51445121684804,0.737837837837838,-0.148361610069087,0.949972051425377,0.0366126327557295,0.0134153158188932,3.11944801841366,0.941343809265782,0.0231644540774858,0.0354917366567326,3.11944801841366,0.756427604871448,0.0433017591339648,0.200270635994587,3.11944801841366,0.656756756756757,0.0324324324324324,0.310810810810811,3.11944801841366
"CO","target_lags",11,"Huber","ReserveTW4","reserve-aware","abs_residual_95",0.95,-1.54066497235005,1.54066497235005,3.08132994470009,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.565757070743842,0.674078408135514,-0.279303903942787,0.71335681387158,-0.089264469971628,5.36365,739,0.946474889614097,1.51997869083857,-0.664401235804653,0.519621109607578,-0.081578477092968,7.078395,370,1.14124279805722,2.04322531495145,-1.48177372737204,0.683783783783784,-0.145160394409091,0.949972051425377,0.034097261039687,0.0159306875349357,3.08132994470009,0.934164183148198,0.0257382823083175,0.0400975345434842,3.08132994470009,0.723951285520974,0.060893098782138,0.215155615696888,3.08132994470009,0.627027027027027,0.0432432432432432,0.32972972972973,3.08132994470009
"CO","target_lags",11,"L1","ReserveTW4","reserve-aware","equal_tail_95",0.95,-1.83235639154001,1.08728518924207,2.91964158078207,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.548327938559167,0.624598317779576,-0.214692824889331,0.680167976158223,-0.0686150137893616,5.36365,739,0.923042275804927,1.39467106009845,-0.699876718611258,0.545331529093369,-0.0859343327198723,7.078395,370,1.11936315268591,1.90503401824117,-1.51445121684804,0.737837837837838,-0.148361610069087,0.949972051425377,0.0250139742873113,0.0250139742873113,2.91964158078207,0.910999729070713,0.0153075047412625,0.0736927661880249,2.91964158078207,0.702300405953992,0.0257104194857916,0.271989174560216,2.91964158078207,0.578378378378378,0.0135135135135135,0.408108108108108,2.91964158078207
"CO","target_lags",11,"Huber","ReserveTW4","reserve-aware","equal_tail_95",0.95,-1.77364578918923,1.16963663118057,2.94328242036981,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.565757070743842,0.674078408135514,-0.279303903942787,0.71335681387158,-0.089264469971628,5.36365,739,0.946474889614097,1.51997869083857,-0.664401235804653,0.519621109607578,-0.081578477092968,7.078395,370,1.14124279805722,2.04322531495145,-1.48177372737204,0.683783783783784,-0.145160394409091,0.949972051425377,0.0250139742873113,0.0250139742873113,2.94328242036981,0.906258466540233,0.0182877269032782,0.0754538065564888,2.94328242036981,0.690121786197564,0.0446549391069012,0.265223274695535,2.94328242036981,0.572972972972973,0.0351351351351351,0.391891891891892,2.94328242036981
"CO","target_lags",11,"PMM","ReserveTW4","reserve-aware","equal_tail_95",0.95,-2.25836353762829,0.856721371764993,3.11508490939328,"2011-2013",2014,2015,22185,7156,7382,3,3,18,1,0,0.556028277072199,0.667534463284022,-0.209980050978469,0.683419127607694,-0.0671088290948079,5.36365,739,0.922930188282786,1.4370977216447,-0.563704977878798,0.495263870094723,-0.0692144914050085,7.078395,370,1.11797000362676,1.8719968422899,-1.48765447620528,0.713513513513514,-0.145736495742435,0.949972051425377,0.0250139742873113,0.0250139742873113,3.11508490939328,0.857626659441886,0.00975345434841506,0.132619886209699,3.11508490939328,0.690121786197564,0.0148849797023004,0.294993234100135,3.11508490939328,0.532432432432432,0.00810810810810811,0.45945945945946,3.11508490939328
"CO","target_lags",11,"LSE","ReserveTW4","reserve-aware","equal_tail_95",0.95,-2.7866448529859,0.802584045908384,3.58922889889429,"2011-2013",2014,2015,22185,7156,7382,3,2,18,0,0,0.577403766008946,0.726444535443329,-0.145004556124581,0.671769168247088,-0.0463429070027751,5.36365,739,0.911501553847303,1.51269639009197,0.0412606450442521,0.324763193504736,0.00506618652282698,7.078395,370,1.07278024484596,1.69874990740006,-0.727226638023107,0.472972972972973,-0.0712419876599197,0.949972051425377,0.0250139742873113,0.0250139742873113,3.58922889889429,0.816851801679762,0.00948252506095909,0.173665673259279,3.58922889889429,0.788903924221922,0.0243572395128552,0.186738836265223,3.58922889889429,0.716216216216216,0.0108108108108108,0.272972972972973,3.58922889889429
"CO","target_lags",11,"L1","ReserveTW4","reserve-aware","upper_95",0.95,-Inf,0.665089021852797,NA,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.548327938559167,0.624598317779576,-0.214692824889331,0.680167976158223,-0.0686150137893616,5.36365,739,0.923042275804927,1.39467106009845,-0.699876718611258,0.545331529093369,-0.0859343327198723,7.078395,370,1.11936315268591,1.90503401824117,-1.51445121684804,0.737837837837838,-0.148361610069087,0.949972051425377,0,0.0500279485746227,NA,0.807775670549986,0,0.192224329450014,NA,0.644113667117727,0,0.355886332882273,NA,0.481081081081081,0,0.518918918918919,NA
"CO","target_lags",11,"Huber","ReserveTW4","reserve-aware","upper_95",0.95,-Inf,0.70353805110204,NA,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.565757070743842,0.674078408135514,-0.279303903942787,0.71335681387158,-0.089264469971628,5.36365,739,0.946474889614097,1.51997869083857,-0.664401235804653,0.519621109607578,-0.081578477092968,7.078395,370,1.14124279805722,2.04322531495145,-1.48177372737204,0.683783783783784,-0.145160394409091,0.949972051425377,0,0.0500279485746227,NA,0.780276347873205,0,0.219723652126795,NA,0.653585926928281,0,0.346414073071719,NA,0.513513513513513,0,0.486486486486487,NA
"CO","target_lags",11,"PMM","ReserveTW4","reserve-aware","upper_95",0.95,-Inf,0.556307811578516,NA,"2011-2013",2014,2015,22185,7156,7382,3,3,18,1,0,0.556028277072199,0.667534463284022,-0.209980050978469,0.683419127607694,-0.0671088290948079,5.36365,739,0.922930188282786,1.4370977216447,-0.563704977878798,0.495263870094723,-0.0692144914050085,7.078395,370,1.11797000362676,1.8719968422899,-1.48765447620528,0.713513513513514,-0.145736495742435,0.949972051425377,0,0.0500279485746227,NA,0.721484692495259,0,0.278515307504741,NA,0.653585926928281,0,0.346414073071719,NA,0.462162162162162,0,0.537837837837838,NA
"CO","target_lags",11,"LSE","ReserveTW4","reserve-aware","upper_95",0.95,-Inf,0.507621435155814,NA,"2011-2013",2014,2015,22185,7156,7382,3,2,18,0,0,0.577403766008946,0.726444535443329,-0.145004556124581,0.671769168247088,-0.0463429070027751,5.36365,739,0.911501553847303,1.51269639009197,0.0412606450442521,0.324763193504736,0.00506618652282698,7.078395,370,1.07278024484596,1.69874990740006,-0.727226638023107,0.472972972972973,-0.0712419876599197,0.949972051425377,0,0.0500279485746227,NA,0.679084259008399,0,0.320915740991601,NA,0.768606224627876,0,0.231393775372124,NA,0.656756756756757,0,0.343243243243243,NA
