"regime","seed","n","p","max_h","mean_h","frac_hi_lev","g3_iid","g3_stud","g4_iid","g4_stud","se_g3_iid","se_g3_stud","method_iid","method_stud","agree"
"exp_skew",91018,400,6,0.648082979975893,0.0149999999999982,0.055,1.53926765697456,1.48011401067669,2.6088373581781,2.62224024313594,0.161587532359817,0.166380422700592,"PMM2","PMM2",TRUE
"exp_skew",91019,400,6,0.412531787472288,0.0149999999999985,0.0475,1.89479718529948,1.87964313956744,5.47793454615008,5.36890840576082,0.362372449397547,0.356682538706682,"PMM2","PMM2",TRUE
"exp_skew",91020,400,6,0.630542334475689,0.0149999999999984,0.0525,1.62911137556029,1.61255102210678,3.09152719750165,3.0024512028134,0.185968829829123,0.188177681783562,"PMM2","PMM2",TRUE
"exp_skew",91021,400,6,0.53165344198735,0.0149999999999984,0.04,1.99538930729288,1.99394721549953,5.02807959384224,5.01380601202435,0.185602170671343,0.180551626159872,"PMM2","PMM2",TRUE
"exp_skew",91022,400,6,0.401954762891566,0.0149999999999985,0.0425,2.45089930141002,2.43579931382701,9.8320413918305,9.78482029115371,0.569258922038414,0.57238934106514,"PMM2","PMM2",TRUE
"exp_skew",91023,400,6,0.365894376533952,0.0149999999999984,0.0475,1.90977480873363,1.93184463050496,4.00622759147679,4.25582533267918,0.176489247491195,0.184865825912864,"PMM2","PMM2",TRUE
"exp_skew",91024,400,6,0.62963191835326,0.0149999999999982,0.0525,1.89436879636845,1.89079747667438,4.87819568592228,4.86268678838167,0.191008631141516,0.18850913553753,"PMM2","PMM2",TRUE
"exp_skew",91025,400,6,0.404278561661169,0.0149999999999984,0.06,1.47678247581041,1.46507826218531,2.3724520879391,2.35559816674097,0.149123602855476,0.151615244582779,"PMM2","PMM2",TRUE
"exp_skew",91026,400,6,0.391691571933182,0.0149999999999984,0.0475,1.7552997665555,1.74277336507737,3.69368500637412,3.64984439387605,0.211591225715202,0.216860196325946,"PMM2","PMM2",TRUE
"exp_skew",91027,400,6,0.465327449148228,0.0149999999999984,0.045,1.31103796467915,1.30413432656486,1.58572155300627,1.55752220570683,0.14573702774972,0.151029245141612,"PMM2","PMM2",TRUE
"exp_skew",91028,400,6,0.5993379383431,0.0149999999999985,0.0425,1.56068209378663,1.58478513988233,2.39097078088267,2.50500443703515,0.116257828461416,0.127798745023022,"PMM2","PMM2",TRUE
"exp_skew",91029,400,6,0.538727085737218,0.0149999999999984,0.0525,1.5054784280401,1.4795414263595,2.35429116183077,2.29626697733489,0.165504660119801,0.178764326028288,"PMM2","PMM2",TRUE
"exp_skew",91030,400,6,0.439463623758502,0.0149999999999985,0.04,2.0668799364299,2.06312517652789,5.54268093462007,5.52015791199234,0.177969174287835,0.184612283650058,"PMM2","PMM2",TRUE
"lognorm_skew",91001,400,6,0.417563131904934,0.0149999999999983,0.05,1.27936219345817,1.26963216518581,1.95234834961716,1.92347713799094,0.156392581036683,0.154956580010656,"PMM2","PMM2",TRUE
"lognorm_skew",91002,400,6,0.577280432762744,0.0149999999999984,0.045,1.65944119936515,1.64900396637146,4.41142605428737,4.36642599906487,0.232946107780051,0.229370278246812,"PMM2","PMM2",TRUE
"lognorm_skew",91003,400,6,0.41261501026491,0.0149999999999983,0.0525,1.53193786635995,1.55094608457777,3.45923289083234,3.64296564513308,0.260878721146316,0.276514058694539,"PMM2","PMM2",TRUE
"lognorm_skew",91004,400,6,0.373263917677189,0.0149999999999985,0.045,1.22386020063799,1.21209735055753,2.6347061823051,2.56777272867505,0.257028497364265,0.251359893933379,"PMM2","PMM2",TRUE
"lognorm_skew",91005,400,6,0.441583764103684,0.0149999999999985,0.04,1.48430252679508,1.51948622490426,2.86681620802384,3.10570994765775,0.162701916112629,0.193862304751829,"PMM2","PMM2",TRUE
"lognorm_skew",91006,400,6,0.499977119048543,0.0149999999999985,0.0425,1.71827485566583,1.70345940197629,4.73811528982223,4.63898486398131,0.303593951408004,0.298586882144315,"PMM2","PMM2",TRUE
"lognorm_skew",91007,400,6,0.488370655214858,0.0149999999999985,0.045,1.37518653764108,1.36451951990512,2.33958847010703,2.31253054148356,0.174684943196802,0.176040283177357,"PMM2","PMM2",TRUE
"lognorm_skew",91008,400,6,0.386574985044308,0.0149999999999985,0.045,2.01554465756486,2.0140213399628,6.73739369391491,6.65554409990928,0.584479801299589,0.567187744080445,"PMM2","PMM2",TRUE
"lognorm_skew",91009,400,6,0.398271465934179,0.0149999999999984,0.0525,1.26087466016161,1.23463203795806,2.35366861900271,2.2747145166547,0.161996972240977,0.158202032623346,"PMM2","PMM2",TRUE
"lognorm_skew",91010,400,6,0.437530026835303,0.0149999999999985,0.0425,1.10749845331895,1.09674947569359,1.20239063051822,1.17556223478301,0.149586078149555,0.148848442681165,"PMM2","PMM2",TRUE
"lognorm_skew",91011,400,6,0.773237220661906,0.0149999999999985,0.0425,1.88293155831229,1.86838856577388,5.00517320869101,4.93464797866762,0.234954403332043,0.236539924928574,"PMM2","PMM2",TRUE
"lognorm_skew",91012,400,6,0.551335733467199,0.0149999999999984,0.0525,1.26499553262496,1.2567979954066,1.56972070735321,1.53020996798533,0.134147531586266,0.133431208468405,"PMM2","PMM2",TRUE
"lognorm_skew",91013,400,6,0.49502406579929,0.0149999999999984,0.045,1.96496515909267,1.93976046376306,7.10493937282875,7.01260412748122,0.352257170987268,0.372458165705072,"PMM2","PMM2",TRUE
"lognorm_skew",91014,400,6,0.595789076337902,0.0149999999999986,0.04,1.96514737404869,1.9383474381964,6.57404220545799,6.38631124621208,0.362648723526488,0.352220146939319,"PMM2","PMM2",TRUE
"lognorm_skew",91015,400,6,0.561713914460956,0.0149999999999985,0.04,1.64847961877566,1.6392988654753,4.19221437282634,4.17759897172646,0.212281405815885,0.203610858660818,"PMM2","PMM2",TRUE
"lognorm_skew",91016,400,6,0.427780152164346,0.0149999999999984,0.05,4.02508166459612,3.99696528115653,31.919306535725,31.3993829951915,1.66520661815803,1.66326179105637,"PMM2","PMM2",TRUE
"lognorm_skew",91017,400,6,0.642368947233841,0.0149999999999985,0.045,1.50495368309091,1.46772119361599,4.56452129128285,4.40677349644791,0.567925293898988,0.552292888817784,"PMM2","PMM2",TRUE
"lognorm_skew",91018,400,6,0.648082979975893,0.0149999999999982,0.055,0.973029330852667,0.970651700590471,0.596616197199087,0.553727684383582,0.117039390755126,0.12014544264834,"PMM2","PMM2",TRUE
"lognorm_skew",91019,400,6,0.412531787472288,0.0149999999999985,0.0475,1.22574990675273,1.2266467423232,1.506628355852,1.50221728704997,0.11789046646608,0.119526351284106,"PMM2","PMM2",TRUE
"lognorm_skew",91020,400,6,0.630542334475689,0.0149999999999984,0.0525,1.15072565680136,1.13623026827326,1.87329491687911,1.84141599612196,0.194942467813739,0.187095973186253,"PMM2","PMM2",TRUE
"lognorm_skew",91021,400,6,0.53165344198735,0.0149999999999984,0.04,1.48194981464736,1.46914774061778,3.58770095905522,3.52915055941351,0.338257348577826,0.342667097467235,"PMM2","PMM2",TRUE
"lognorm_skew",91022,400,6,0.401954762891566,0.0149999999999985,0.0425,1.07402217501371,1.07125618463,1.11529093633152,1.13643316065643,0.135838498273393,0.133865643723751,"PMM2","PMM2",TRUE
"lognorm_skew",91023,400,6,0.365894376533952,0.0149999999999984,0.0475,1.37469078509613,1.35795600724714,2.25806519720093,2.20984108514072,0.136738435192055,0.136152490030994,"PMM2","PMM2",TRUE
"lognorm_skew",91024,400,6,0.62963191835326,0.0149999999999982,0.0525,1.31378474434058,1.30919195255884,2.81748391483751,2.78642625131073,0.22876395404755,0.224011144594303,"PMM2","PMM2",TRUE
"lognorm_skew",91025,400,6,0.404278561661169,0.0149999999999984,0.06,1.54158504297985,1.52960367293909,2.74273619927227,2.68829337642929,0.143857840268216,0.143478621145969,"PMM2","PMM2",TRUE
"lognorm_skew",91026,400,6,0.391691571933182,0.0149999999999984,0.0475,1.54877842485862,1.53512071298785,3.27589171304837,3.20870476357483,0.177710844384258,0.178306049243959,"PMM2","PMM2",TRUE
"lognorm_skew",91027,400,6,0.465327449148228,0.0149999999999984,0.045,1.86007682847781,1.85726018005472,5.81851177148618,5.72579875241928,0.352501390720147,0.345972123470334,"PMM2","PMM2",TRUE
"lognorm_skew",91028,400,6,0.5993379383431,0.0149999999999985,0.0425,2.16738322695528,2.12644601887105,8.09661881670116,7.9179366607534,0.460235745702597,0.469975854020627,"PMM2","PMM2",TRUE
"lognorm_skew",91029,400,6,0.538727085737218,0.0149999999999984,0.0525,1.94451086886533,1.89573991369821,6.72178431863075,6.48855569281468,0.390837578935322,0.369561950786009,"PMM2","PMM2",TRUE
"lognorm_skew",91030,400,6,0.439463623758502,0.0149999999999985,0.04,1.94247254263173,1.93404067431961,7.17708274423943,7.03918956756419,0.773689489474052,0.758817254196038,"PMM2","PMM2",TRUE
"uniform_platy",91001,400,6,0.417563131904934,0.0149999999999983,0.05,-0.0200416180790137,-0.0206537295641725,-1.13046227748475,-1.13225720364005,0.064218543809651,0.0657374937303358,"PMM3","PMM3",TRUE
"uniform_platy",91002,400,6,0.577280432762744,0.0149999999999984,0.045,0.0664616076127594,0.0670399519162145,-1.14843674184305,-1.15785198437926,0.0722604318271338,0.0715517759132927,"PMM3","PMM3",TRUE
"uniform_platy",91003,400,6,0.41261501026491,0.0149999999999983,0.0525,0.0492051766385892,0.0475952670930111,-1.26667245311763,-1.27368675970332,0.0757928026916508,0.0753522539682429,"PMM3","PMM3",TRUE
"uniform_platy",91004,400,6,0.373263917677189,0.0149999999999985,0.045,-0.00654100210697945,-0.0107708939561958,-1.23632911531477,-1.2262092750376,0.0661904280858463,0.0635190929618857,"PMM3","PMM3",TRUE
"uniform_platy",91005,400,6,0.441583764103684,0.0149999999999985,0.04,0.0347243249909487,0.0360676653124453,-1.12207389926204,-1.12399931629914,0.0722257307352862,0.0706428635580861,"PMM3","PMM3",TRUE
"uniform_platy",91006,400,6,0.499977119048543,0.0149999999999985,0.0425,-0.0184857609441072,-0.0248374805409753,-1.08257115529769,-1.07046518422781,0.0593594311405081,0.0595676407242718,"PMM3","PMM3",TRUE
"uniform_platy",91007,400,6,0.488370655214858,0.0149999999999985,0.045,0.0542329507245069,0.0646139183996148,-1.19334399911716,-1.18706161358071,0.0681054796815374,0.072444913375438,"PMM3","PMM3",TRUE
"uniform_platy",91008,400,6,0.386574985044308,0.0149999999999985,0.045,0.0556421140460393,0.0605720279480618,-1.00282980330304,-1.00018164983825,0.0747352882326222,0.073077379296947,"PMM3","PMM3",TRUE
"uniform_platy",91009,400,6,0.398271465934179,0.0149999999999984,0.0525,0.0669417787616463,0.0661053955374325,-1.05258829348154,-1.05898767322197,0.07269668598653,0.0732883374917137,"PMM3","PMM3",TRUE
"uniform_platy",91010,400,6,0.437530026835303,0.0149999999999985,0.0425,0.0235657196413333,0.0282440818228385,-1.20611640912816,-1.18752851472983,0.0744543260730249,0.0721231910602452,"PMM3","PMM3",TRUE
"uniform_platy",91011,400,6,0.773237220661906,0.0149999999999985,0.0425,0.0897051371806038,0.0870257105705942,-1.09689398557787,-1.10209164689988,0.0775034244409492,0.0773924828464647,"PMM3","PMM3",TRUE
"uniform_platy",91012,400,6,0.551335733467199,0.0149999999999984,0.0525,0.0269810251981013,0.0205468498361873,-1.10707373407848,-1.09956698786741,0.0780500253255847,0.0857622973499305,"PMM3","PMM3",TRUE
"uniform_platy",91013,400,6,0.49502406579929,0.0149999999999984,0.045,-0.0439410425660801,-0.0438230938790602,-1.20119685285844,-1.20499218408747,0.0788927100987995,0.0802291790548479,"PMM3","PMM3",TRUE
"uniform_platy",91014,400,6,0.595789076337902,0.0149999999999986,0.04,0.05421011443393,0.0394493844230725,-1.20956143126047,-1.19077882149972,0.0685213175531647,0.0661721349613959,"PMM3","PMM3",TRUE
"uniform_platy",91015,400,6,0.561713914460956,0.0149999999999985,0.04,-0.0646129449109038,-0.0640728955616578,-1.11678128055515,-1.11886816473316,0.0684954626484179,0.0676312084712544,"PMM3","PMM3",TRUE
"uniform_platy",91016,400,6,0.427780152164346,0.0149999999999984,0.05,0.0182260379279685,0.0186902047680682,-1.14906042574467,-1.15516600159094,0.0750429680460155,0.0745196281241996,"PMM3","PMM3",TRUE
"uniform_platy",91017,400,6,0.642368947233841,0.0149999999999985,0.045,0.0331317233888376,0.0306359099693598,-1.09664012377231,-1.09744622464409,0.0627081400941511,0.066462735649817,"PMM3","PMM3",TRUE
"uniform_platy",91018,400,6,0.648082979975893,0.0149999999999982,0.055,0.0790502400061078,0.0740533867598917,-1.29453355138732,-1.29774037314299,0.0712977394928239,0.0721597018688323,"PMM3","PMM3",TRUE
"uniform_platy",91019,400,6,0.412531787472288,0.0149999999999985,0.0475,0.113420164132028,0.110669823727387,-1.25547612361931,-1.2626175568371,0.0703640060785078,0.0699770968385412,"PMM3","PMM3",TRUE
"uniform_platy",91020,400,6,0.630542334475689,0.0149999999999984,0.0525,0.0708062735235178,0.0661152729366131,-1.06271755828662,-1.06809720978853,0.0762691065039221,0.0752629312660126,"PMM3","PMM3",TRUE
"uniform_platy",91021,400,6,0.53165344198735,0.0149999999999984,0.04,0.0363134575528581,0.0331271689255795,-1.24000362559681,-1.24709526477775,0.0763400955028345,0.075051304486904,"PMM3","PMM3",TRUE
"uniform_platy",91022,400,6,0.401954762891566,0.0149999999999985,0.0425,0.181305507796841,0.172100575656061,-1.08817951950407,-1.08683101114714,0.0703002204266907,0.0715047265488542,"PMM3","PMM3",TRUE
"uniform_platy",91023,400,6,0.365894376533952,0.0149999999999984,0.0475,-0.0743187156685092,-0.0790937005201307,-1.17775208698639,-1.17308490410907,0.0841968636628173,0.0881142937458084,"PMM3","PMM3",TRUE
"uniform_platy",91024,400,6,0.62963191835326,0.0149999999999982,0.0525,0.021064402550956,0.019584672548259,-1.23148844088506,-1.23649352732522,0.069894255201518,0.0692600606544837,"PMM3","PMM3",TRUE
"uniform_platy",91025,400,6,0.404278561661169,0.0149999999999984,0.06,0.08415375938996,0.084408493529287,-1.08887487296758,-1.09728017776415,0.058574959095034,0.0575191100990914,"PMM3","PMM3",TRUE
"uniform_platy",91026,400,6,0.391691571933182,0.0149999999999984,0.0475,-0.0161693684836379,-0.0177649320577139,-1.18631080561727,-1.19325660011209,0.0644772906857166,0.0644521094722666,"PMM3","PMM3",TRUE
