"seed","tail_weight","tail_prob","method","nrmse_test"
75013,2,0.95,"LSE",2.25656694517226
75013,2,0.95,"Huber",1.39921364256898
75014,2,0.95,"PMM",0.765920218634009
75014,2,0.95,"LSE",0.753096773415448
75014,2,0.95,"Huber",0.844678673277512
75015,2,0.95,"PMM",0.768521560821618
75015,2,0.95,"LSE",0.960569874377038
75015,2,0.95,"Huber",0.893113725938304
75001,4,0.85,"PMM",0.760996985654026
75001,4,0.85,"LSE",1.23701711073762
75001,4,0.85,"Huber",1.12331230102466
75002,4,0.85,"PMM",0.715604276904247
75002,4,0.85,"LSE",0.708889555476002
75002,4,0.85,"Huber",0.745992302814653
75003,4,0.85,"PMM",1.43339671394093
75003,4,0.85,"LSE",0.876091392254254
75003,4,0.85,"Huber",1.05689145451337
75004,4,0.85,"PMM",1.63960647165418
75004,4,0.85,"LSE",2.23949628850832
75004,4,0.85,"Huber",2.66677392018139
75005,4,0.85,"PMM",0.733957253214578
75005,4,0.85,"LSE",0.78454042151483
75005,4,0.85,"Huber",0.778131998901909
75006,4,0.85,"PMM",1.00634345247314
75006,4,0.85,"LSE",0.817824242687456
75006,4,0.85,"Huber",0.816148571110458
75007,4,0.85,"PMM",1.99124822613106
75007,4,0.85,"LSE",0.789727488731413
75007,4,0.85,"Huber",8.67187722643355
75008,4,0.85,"PMM",0.745084227194496
75008,4,0.85,"LSE",1.10286445259496
75008,4,0.85,"Huber",0.792794788068123
75009,4,0.85,"PMM",0.8046947978997
75009,4,0.85,"LSE",15.6866467330111
75009,4,0.85,"Huber",1.01539855666266
75010,4,0.85,"PMM",0.7731508926682
75010,4,0.85,"LSE",0.99714360470969
75010,4,0.85,"Huber",1.70960552746707
75011,4,0.85,"PMM",0.800283044378012
75011,4,0.85,"LSE",1.03413641853686
75011,4,0.85,"Huber",0.979411543849628
75012,4,0.85,"PMM",8.5295209166043
75012,4,0.85,"LSE",7.18496193765808
75012,4,0.85,"Huber",0.846105576995564
75013,4,0.85,"PMM",0.916161919141581
75013,4,0.85,"LSE",1.03706439886514
75013,4,0.85,"Huber",0.829490335608373
75014,4,0.85,"PMM",0.723068769832987
75014,4,0.85,"LSE",0.753096773415448
75014,4,0.85,"Huber",0.973369812513256
75015,4,0.85,"PMM",0.863051467336583
75015,4,0.85,"LSE",0.960569874377038
75015,4,0.85,"Huber",0.970214703833073
75001,4,0.9,"PMM",0.760996985654026
75001,4,0.9,"LSE",1.23701711073762
75001,4,0.9,"Huber",1.12331230102466
75002,4,0.9,"PMM",0.715604276904247
75002,4,0.9,"LSE",0.821135378498626
75002,4,0.9,"Huber",0.745992302814653
75003,4,0.9,"PMM",1.33882049429821
75003,4,0.9,"LSE",0.876091392254254
75003,4,0.9,"Huber",1.22203996189123
75004,4,0.9,"PMM",1.63960647165418
75004,4,0.9,"LSE",1.07280127332242
75004,4,0.9,"Huber",2.66677392018139
75005,4,0.9,"PMM",0.774077575930902
75005,4,0.9,"LSE",0.78454042151483
75005,4,0.9,"Huber",0.778131998901909
75006,4,0.9,"PMM",1.00634345247314
75006,4,0.9,"LSE",0.817824242687456
75006,4,0.9,"Huber",1.30761279449179
75007,4,0.9,"PMM",1.99124822613106
75007,4,0.9,"LSE",0.789727488731413
75007,4,0.9,"Huber",8.67187722643355
75008,4,0.9,"PMM",0.74517859225961
75008,4,0.9,"LSE",1.10286445259496
75008,4,0.9,"Huber",0.792794788068123
75009,4,0.9,"PMM",0.8046947978997
75009,4,0.9,"LSE",15.6866467330111
75009,4,0.9,"Huber",1.01539855666266
75010,4,0.9,"PMM",0.7731508926682
75010,4,0.9,"LSE",0.760879153343072
75010,4,0.9,"Huber",1.70960552746707
75011,4,0.9,"PMM",11.3189441997367
75011,4,0.9,"LSE",1.03413641853686
75011,4,0.9,"Huber",13.5809841511238
75012,4,0.9,"PMM",8.52952091660686
75012,4,0.9,"LSE",7.18496193765808
75012,4,0.9,"Huber",0.846105576995564
75013,4,0.9,"PMM",0.916161919141535
75013,4,0.9,"LSE",2.25656694517234
