"seed","gamma3","break_mag","criterion","method","nrmse_test","nrmse_cal","coverage","width","pmm2_share","pmm3_share","frac_outside_hull","maha_ratio"
75005,1.5,0.3,"ReserveTW4","Huber",0.881946276618978,0.848098248197401,0.9328,4.34880568634345,0,0,0.002,1.00340953742414
75006,1.5,0.3,"ReserveTW4","LSE",0.832810947820199,0.869946678747406,0.9384,4.01021130614101,0,0,0.004,0.990264550408515
75006,1.5,0.3,"ReserveTW4","PMM",0.833246985156576,0.867915699710526,0.9372,3.98473687781329,1,0,0.004,0.990264550408515
75006,1.5,0.3,"ReserveTW4","Huber",0.87621445317964,0.875808049065595,0.9332,4.20142328180352,0,0,0.004,0.990264550408515
75007,1.5,0.3,"ReserveTW4","LSE",0.847595732869258,0.894489255615843,0.9528,4.79905358868497,0,0,0.0016,1.0620940335384
75007,1.5,0.3,"ReserveTW4","PMM",0.847902385748125,0.892673469111202,0.9512,4.71102315819029,1,0,0.0016,1.0620940335384
75007,1.5,0.3,"ReserveTW4","Huber",0.878737709448191,0.905273071376088,0.9544,5.08125572142747,0,0,0.0016,1.0620940335384
75008,1.5,0.3,"ReserveTW4","LSE",0.851061678703411,0.843236762421764,0.956,4.73139485774889,0,0,0.0028,0.997014748085939
75008,1.5,0.3,"ReserveTW4","PMM",0.847203682305911,0.842111474772166,0.956,4.69165013935091,1,0,0.0028,0.997014748085939
75008,1.5,0.3,"ReserveTW4","Huber",0.884445302068713,0.855661562428229,0.9564,4.99016199628702,0,0,0.0028,0.997014748085939
75009,1.5,0.3,"ReserveTW4","LSE",0.832050815777368,0.864606494168821,0.9204,3.48539763865474,0,0,0.002,0.936956722771424
75009,1.5,0.3,"ReserveTW4","PMM",0.832607638063648,0.857384854406513,0.9148,3.41852249496339,1,0,0.002,0.936956722771424
75009,1.5,0.3,"ReserveTW4","Huber",0.861384005912246,0.853548924116435,0.918,3.70042746405582,0,0,0.002,0.936956722771424
75010,1.5,0.3,"ReserveTW4","LSE",0.851775187542805,0.880159273448037,0.9364,4.27288757724821,0,0,0.002,1.02332774586077
75010,1.5,0.3,"ReserveTW4","PMM",0.854420506763093,0.882550821291269,0.934,4.20568899296556,1,0,0.002,1.02332774586077
75010,1.5,0.3,"ReserveTW4","Huber",0.884810190756905,0.890345624052077,0.9348,4.4557464516887,0,0,0.002,1.02332774586077
75011,1.5,0.3,"ReserveTW4","LSE",0.840738908776718,0.824352772364752,0.932,3.92122477198139,0,0,0.0092,1.00284938836668
75011,1.5,0.3,"ReserveTW4","PMM",0.837610097333887,0.825009992454649,0.9284,3.84302911447415,1,0,0.0092,1.00284938836668
75011,1.5,0.3,"ReserveTW4","Huber",0.875291876562064,0.841709836594519,0.9296,4.14963502001321,0,0,0.0092,1.00284938836668
75012,1.5,0.3,"ReserveTW4","LSE",0.853553169333871,0.883096117270532,0.9304,4.03475506844699,0,0,0.0016,1.0137626952105
75012,1.5,0.3,"ReserveTW4","PMM",0.849826777467867,0.881869985723134,0.9292,3.99216668907914,1,0,0.0016,1.0137626952105
75012,1.5,0.3,"ReserveTW4","Huber",0.88860024657137,0.895117903055666,0.9292,4.24823027912758,0,0,0.0016,1.0137626952105
75013,1.5,0.3,"ReserveTW4","LSE",0.864730858839004,0.869840717010315,0.9396,4.26556147238658,0,0,0.0028,0.989944649897498
75013,1.5,0.3,"ReserveTW4","PMM",0.863588664472597,0.868982330828948,0.9432,4.28713906867211,1,0,0.0028,0.989944649897498
75013,1.5,0.3,"ReserveTW4","Huber",0.893882624208509,0.882584684787205,0.942,4.50190007589325,0,0,0.0028,0.989944649897498
75014,1.5,0.3,"ReserveTW4","LSE",0.866655085464202,0.886108784363291,0.9416,4.5195576084808,0,0,0.0052,0.944633047680991
75014,1.5,0.3,"ReserveTW4","PMM",0.864790576690079,0.884602267067713,0.942,4.51942653137522,1,0,0.0052,0.944633047680991
75014,1.5,0.3,"ReserveTW4","Huber",0.904112029970961,0.897030389367706,0.9412,4.72612378166241,0,0,0.0052,0.944633047680991
75015,1.5,0.3,"ReserveTW4","LSE",0.840472621203565,0.790535273109398,0.9048,3.23271623103292,0,0,0.0036,0.963635792146956
75015,1.5,0.3,"ReserveTW4","PMM",0.842712642107396,0.791097305443161,0.9036,3.24247575018039,1,0,0.0036,0.963635792146956
75015,1.5,0.3,"ReserveTW4","Huber",0.869980051148773,0.793457728447366,0.9048,3.46026015823194,0,0,0.0036,0.963635792146956
75016,1.5,0.3,"ReserveTW4","LSE",0.838800201509335,0.840633746368074,0.9256,3.67204769745006,0,0,0.0056,0.983747275347175
75016,1.5,0.3,"ReserveTW4","PMM",0.842076270907479,0.845513156629073,0.9372,3.99091274235126,1,0,0.0056,0.983747275347175
75016,1.5,0.3,"ReserveTW4","Huber",0.886134541536175,0.852099795641118,0.9356,4.28329199146442,0,0,0.0056,0.983747275347175
75017,1.5,0.3,"ReserveTW4","LSE",0.849556942357899,0.813513905281995,0.912,3.58501687305192,0,0,0.0016,0.980410257260464
